point_id,figure,sample_id,target_temperature_c,pixel_x,pixel_y,status,reason,temperature_c,temperature_c_lower,temperature_c_upper,plotted_weight_percent,plotted_weight_percent_lower,plotted_weight_percent_upper
fig38-01,38,areias2019-collected-lot-1,50,74,30.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,49.78,40.17,59.39,98.90,98.22,99.58
fig38-02,38,areias2019-collected-lot-1,100,93,44.0,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,99.56,89.95,109.18,96.41,95.73,97.09
fig38-03,38,areias2019-collected-lot-1,200,131,65.0,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,199.13,189.51,208.74,92.55,91.87,93.23
fig38-04,38,areias2019-collected-lot-1,300,170,,unknown,Complete same-column green-dominant footprint spans more than four pixels; no center fits the preregistered +/-2 y box.,301.31,291.70,310.92,,,
fig38-05,38,areias2019-collected-lot-1,400,208,,unknown,Complete same-column green-dominant footprint spans more than four pixels; no center fits the preregistered +/-2 y box.,400.87,391.26,410.49,,,
fig38-06,38,areias2019-collected-lot-1,500,246,303.0,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,500.44,490.82,510.05,48.74,48.06,49.42
fig38-07,38,areias2019-collected-lot-1,600,284,311.0,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,600.00,590.39,609.61,47.27,46.59,47.95
fig38-08,38,areias2019-collected-lot-1,700,322,315.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,699.56,689.95,709.18,46.44,45.76,47.12
fig38-09,38,areias2019-collected-lot-1,800,360,319.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,799.13,789.51,808.74,45.71,45.03,46.39
fig38-10,38,areias2019-collected-lot-1,900,398,322.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,898.69,889.08,908.30,45.15,44.47,45.83
fig38-11,38,areias2019-collected-lot-1,1000,437,327.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,1000.87,991.26,1010.49,44.23,43.55,44.91
fig38-12,38,areias2019-collected-lot-1,1100,475,332.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,1100.44,1090.82,1110.05,43.31,42.63,43.99
fig38-13,38,areias2019-collected-lot-1,1150,494,335.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,1150.22,1140.61,1159.83,42.76,42.08,43.44
fig39-01,39,areias2019-collected-lot-2,50,72,24.0,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,49.89,40.70,59.09,99.36,98.74,99.97
fig39-02,39,areias2019-collected-lot-2,100,91,40.0,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,99.78,90.59,108.98,96.41,95.79,97.03
fig39-03,39,areias2019-collected-lot-2,200,129,57.0,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,199.56,190.37,208.76,93.28,92.66,93.90
fig39-04,39,areias2019-collected-lot-2,300,167,,unknown,Complete same-column green-dominant footprint spans more than four pixels; no center fits the preregistered +/-2 y box.,299.34,290.15,308.54,,,
fig39-05,39,areias2019-collected-lot-2,400,205,,unknown,Green trace is overlapped and mixed with magenta at target column; full green footprint/identity cannot be recovered.,399.12,389.93,408.32,,,
fig39-06,39,areias2019-collected-lot-2,500,243,300.0,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,498.91,489.71,508.10,48.56,47.94,49.18
fig39-07,39,areias2019-collected-lot-2,600,282,308.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,601.31,592.12,610.51,46.99,46.38,47.61
fig39-08,39,areias2019-collected-lot-2,700,320,312.0,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,701.09,691.90,710.29,46.35,45.73,46.97
fig39-09,39,areias2019-collected-lot-2,800,358,316.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,800.88,791.68,810.07,45.52,44.90,46.14
fig39-10,39,areias2019-collected-lot-2,900,396,320.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,900.66,891.46,909.85,44.79,44.17,45.40
