page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   9     0 image    3329   840  rgb     3   8  image  no       425  0   497   499  282K 3.4%
   9     1 image    3329   280  index   1   8  image  no       428  0   497   499 24.2K 2.7%
   9     2 image    3329   280  index   1   8  image  no       427  0   497   499 18.7K 2.1%
   9     3 image    3329   280  index   1   8  image  no       430  0   497   499 15.5K 1.7%
   9     4 image    3329   276  index   1   8  image  no       429  0   497   494 32.8K 3.6%
   9     5 image    3323   560  rgb     3   8  jpeg   no       434  0   498   499  134K 2.5%
   9     6 image    3323   280  index   1   8  image  no       432  0   498   499 34.9K 3.8%
   9     7 image    3323   280  index   1   8  image  no       424  0   498   499 27.3K 3.0%
   9     8 image    3323   280  index   1   8  image  no       426  0   498   499 21.1K 2.3%
   9     9 image    3323   280  index   1   8  image  no       431  0   498   499 18.5K 2.0%
   9    10 image    3323   276  index   1   8  image  no       433  0   498   494 35.3K 3.9%
