point_id,panel,mixture,pixel_x,pixel_y,temperature_c,temperature_lower_c,temperature_upper_c,relative_length_change_percent,relative_length_change_lower_percent,relative_length_change_upper_percent,relative_length_change_fraction
A01,A,MIA1,317,427.5,99.9,94.1,105.7,0.035,-0.008,0.077,0.00035
A02,A,MIA1,576,374,200.0,194.6,205.4,0.125,0.082,0.168,0.00125
A03,A,MIA1,835,322,300.1,294.7,305.5,0.213,0.170,0.256,0.00213
A04,A,MIA1,1352,237,499.8,494.5,505.2,0.356,0.314,0.399,0.00356
A05,A,MIA1,1611,304,599.9,594.5,605.3,0.243,0.201,0.286,0.00243
A06,A,MIA1,2129,386,800.1,794.7,805.5,0.105,0.062,0.147,0.00105
A07,A,MIA1,2388,507,900.2,894.8,905.5,-0.100,-0.142,-0.057,-0.00100
A08,A,MIA1,2582,861,975.1,969.7,980.5,-0.698,-0.740,-0.655,-0.00698
A09,A,MIA1,2646,875,999.8,994.5,1005.2,-0.721,-0.764,-0.679,-0.00721
A10,A,MIA1,2776,942,1050.1,1044.7,1055.5,-0.834,-0.877,-0.792,-0.00834
A11,A,MIA1,2905,1084,1099.9,1094.5,1105.3,-1.074,-1.117,-1.032,-0.01074
A12,A,MIA1,3035,1272,1150.2,1144.8,1155.5,-1.392,-1.435,-1.349,-0.01392
A13,A,MIA1,3112,1443,1179.9,1174.5,1185.3,-1.681,-1.723,-1.638,-0.01681
B01,B,MIA3,303,337,100.1,94.4,105.8,0.007,-0.067,0.080,0.00007
B02,B,MIA3,559,314,200.0,194.7,205.3,0.069,-0.005,0.142,0.00069
B03,B,MIA3,815,277,299.9,294.6,305.2,0.169,0.095,0.242,0.00169
B04,B,MIA3,1328,232,500.0,494.8,505.3,0.291,0.217,0.364,0.00291
B05,B,MIA3,1584,301.5,599.9,594.6,605.2,0.103,0.029,0.176,0.00103
B06,B,MIA3,2097,368,800.1,794.8,805.4,-0.077,-0.150,-0.004,-0.00077
B07,B,MIA3,2353,440,900.0,894.7,905.2,-0.272,-0.345,-0.198,-0.00272
B08,B,MIA3,2545,694,974.9,969.6,980.2,-0.958,-1.032,-0.885,-0.00958
B09,B,MIA3,2609,725.5,999.8,994.6,1005.1,-1.043,-1.117,-0.970,-0.01043
B10,B,MIA3,2738,834.5,1050.2,1044.9,1055.5,-1.338,-1.411,-1.264,-0.01338
B11,B,MIA3,2866,1097.5,1100.1,1094.8,1105.4,-2.049,-2.122,-1.975,-0.02049
B12,B,MIA3,2994,1321,1150.1,1144.8,1155.3,-2.653,-2.726,-2.579,-0.02653
B13,B,MIA3,3071,1481.5,1180.1,1174.8,1185.4,-3.086,-3.160,-3.013,-0.03086
