         701155 function calls (690173 primitive calls) in 0.355 seconds

   Ordered by: cumulative time
   List reduced from 212 to 18 due to restriction <18>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.003    0.001    0.327    0.054 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_open_column.py:95(observe)
      768    0.001    0.000    0.300    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:45(offset_inventory_state)
     6330    0.025    0.000    0.278    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:14(at_carbon_offset)
 2097/847    0.007    0.000    0.275    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_zeros_py.py:724(brentq)
 2097/847    0.006    0.000    0.273    0.000 {built-in method scipy.optimize._zeros._brentq}
14529/6047    0.020    0.000    0.270    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_zeros_py.py:106(f_raise)
     5562    0.005    0.000    0.259    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:47(<lambda>)
    12660    0.045    0.000    0.129    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_reaction_affinity.py:42(standard)
     6330    0.043    0.000    0.117    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/equilibrium_calcite_rigid.py:58(inventory_partition)
    87144    0.035    0.000    0.058    0.000 {built-in method math.fsum}
    16152    0.039    0.000    0.048    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_reaction_affinity.py:20(standard)
    21094    0.019    0.000    0.032    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:22(score)
   202560    0.022    0.000    0.022    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_reaction_affinity.py:44(<genexpr>)
      768    0.008    0.000    0.021    0.000 /Users/wanggaoying/Desktop/brickmodel-github/examples/sandbox/calcite_rigid_source_review.py:6(source_cell_errors)
     8967    0.004    0.000    0.019    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:35(<lambda>)
        6    0.000    0.000    0.014    0.002 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_surface.py:63(solve)
        6    0.000    0.000    0.012    0.002 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/_lib/_util.py:650(inner)
        6    0.000    0.000    0.012    0.002 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_lsq/least_squares.py:266(least_squares)


