         943097 function calls (932061 primitive calls) in 0.501 seconds

   Ordered by: cumulative time
   List reduced from 216 to 18 due to restriction <18>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.002    0.000    0.454    0.076 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_open_column.py:95(observe)
      768    0.001    0.000    0.405    0.001 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:45(offset_inventory_state)
     6330    0.022    0.000    0.385    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:14(at_carbon_offset)
 2097/847    0.003    0.000    0.354    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_zeros_py.py:724(brentq)
 2097/847    0.010    0.000    0.353    0.000 {built-in method scipy.optimize._zeros._brentq}
14529/6047    0.032    0.000    0.347    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_zeros_py.py:106(f_raise)
     5562    0.004    0.000    0.338    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:47(<lambda>)
    12660    0.056    0.000    0.220    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_reaction_affinity.py:42(standard)
     6330    0.051    0.000    0.207    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/equilibrium_calcite_rigid.py:58(inventory_partition)
    50706    0.111    0.000    0.139    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_reaction_affinity.py:20(standard)
    87144    0.041    0.000    0.061    0.000 {built-in method math.fsum}
        6    0.002    0.000    0.024    0.004 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_surface.py:63(solve)
      768    0.006    0.000    0.024    0.000 /Users/wanggaoying/Desktop/brickmodel-github/examples/sandbox/calcite_rigid_source_review.py:6(source_cell_errors)
   257034    0.024    0.000    0.024    0.000 {built-in method math.sqrt}
      876    0.013    0.000    0.022    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_source_force.py:26(source_integral_rigid_face)
    21094    0.012    0.000    0.021    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:22(score)
      762    0.000    0.000    0.021    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_open_column.py:70(<lambda>)
   202560    0.020    0.000    0.020    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_reaction_affinity.py:44(<genexpr>)
