         1769764 function calls (1626810 primitive calls) in 0.964 seconds

   Ordered by: cumulative time
   List reduced from 127 to 22 due to restriction <22>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.931    0.052 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/carbon_calcium_open_column.py:41(observe)
       18    0.002    0.000    0.907    0.050 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/carbon_calcium_open_column.py:37(states)
      576    0.002    0.000    0.905    0.002 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_pressure.py:22(at_temperature_volume)
     5314    0.007    0.000    0.810    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:145(_equilibrium_at_pressure)
     5314    0.077    0.000    0.803    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:14(_inventory_equilibrium)
10924/1680    0.021    0.000    0.786    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_zeros_py.py:724(brentq)
10924/1680    0.049    0.000    0.747    0.000 {built-in method scipy.optimize._zeros._brentq}
144114/19654    0.167    0.000    0.737    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_zeros_py.py:106(f_raise)
     4738    0.009    0.000    0.700    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_pressure.py:38(<lambda>)
        9    0.002    0.000    0.507    0.056 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/carbon_calcium_open_column.py:56(rate_components)
    10264    0.069    0.000    0.465    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:43(fixed_calcium)
      576    0.002    0.000    0.190    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_pressure.py:59(at_temperature_pressure)
    43894    0.092    0.000    0.122    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_reaction_affinity.py:20(standard)
   119096    0.073    0.000    0.110    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:62(residual)
     1576    0.011    0.000    0.083    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:81(coexistence)
    62545    0.048    0.000    0.079    0.000 {built-in method math.fsum}
      576    0.031    0.000    0.068    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_pressure.py:165(caloric_response)
     1576    0.002    0.000    0.062    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:30(log_root)
   381034    0.045    0.000    0.045    0.000 {built-in method math.sqrt}
    10924    0.039    0.000    0.039    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_zeros_py.py:104(_wrap_nan_raise)
    11840    0.029    0.000    0.039    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:37(quantities)
      288    0.010    0.000    0.030    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/carbon_calcium_caloric_inventory.py:12(caloric_inventory_tangent)
