panel,target_temperature_degC,nominal_value,analyst_read_lower,analyst_read_upper,unit,status,reason,within_TG_DSC_temperature_range,experimental_uncertainty
TG,100,97.2596176879222,95.86206896551724,99.3073593073593,wt_percent_of_initial_TG_sample,readable,,True,
TG,225,90.87816796818856,88.96551724137932,93.41991341991341,wt_percent_of_initial_TG_sample,readable,,True,
TG,319,72.0787620370814,70.0,74.71861471861472,wt_percent_of_initial_TG_sample,readable,,True,
TG,421,56.383845158817614,54.81268011527378,58.44155844155844,wt_percent_of_initial_TG_sample,readable,,True,
TG,590,47.41532122838116,45.821325648414984,49.09090909090909,wt_percent_of_initial_TG_sample,readable,,True,
TG,825,41.033871508647536,39.2507204610951,42.510822510822514,wt_percent_of_initial_TG_sample,readable,,False,
DSC,100,-0.5011602998928953,-0.5135338345864662,-0.4932330827067669,W_per_g_initial_DSC_sample_plot_endo_down,readable,,True,
DSC,200,-0.3399678686183506,-0.3451127819548872,-0.33533834586466166,W_per_g_initial_DSC_sample_plot_endo_down,readable,,True,
DSC,300,-0.2679935737236701,-0.2729323308270677,-0.2631578947368421,W_per_g_initial_DSC_sample_plot_endo_down,readable,,True,
DSC,400,-0.2035166012138522,-0.20827067669172933,-0.19699248120300752,W_per_g_initial_DSC_sample_plot_endo_down,readable,,True,
DSC,500,0.025151731524455552,0.018656716417910446,0.03308270676691729,W_per_g_initial_DSC_sample_plot_endo_down,readable,,True,
DSC,575,,,,W_per_g_initial_DSC_sample_plot_endo_down,unknown,At least one feasible column has no selected curve pixel,True,
