candidate_id,condition_id,source_id,pdf_page,printed_page,table,source_row,time_min,protocol_segment_inferred,source_numeric_row,R1_mm_as_printed,R2_mm_as_printed,R3_mm_as_printed,a1_mm,a2_mm,a3_mm,a4_mm,mass_g,surface_vertex_temperature_C,room_temperature_C,room_relative_humidity_percent
SILVA2009_HOLLOW,70C_A3,SILVA2009,196,170,A3,1,0,main_drying,"0     93,16    197    203     8,54    9,87    7,99    6,96    3055    26,0    26,9  68",93.16,197,203,8.54,9.87,7.99,6.96,3055,26.0,26.9,68
SILVA2009_HOLLOW,70C_A3,SILVA2009,196,170,A3,2,10,main_drying,"10    93,11    196    202     8,41    9,93    7,35    7,18    3038    36,5    26,9  68",93.11,196,202,8.41,9.93,7.35,7.18,3038,36.5,26.9,68
SILVA2009_HOLLOW,70C_A3,SILVA2009,196,170,A3,3,20,main_drying,"20     93,27    195    202     8,16    9,64    7,46    6,83    3016    38,2    26,9  67",93.27,195,202,8.16,9.64,7.46,6.83,3016,38.2,26.9,67
SILVA2009_HOLLOW,70C_A3,SILVA2009,196,170,A3,4,30,main_drying,"30     93,52    195    200     8,17    9,50    7,38    6,75    2995    36,5    26,9  66",93.52,195,200,8.17,9.50,7.38,6.75,2995,36.5,26.9,66
SILVA2009_HOLLOW,70C_A3,SILVA2009,196,170,A3,5,40,main_drying,"40      93,7    194    199     8,13    9,48    7,30    6,69    2974    37,0    26,9  65",93.7,194,199,8.13,9.48,7.30,6.69,2974,37.0,26.9,65
SILVA2009_HOLLOW,70C_A3,SILVA2009,196,170,A3,6,50,main_drying,"50     93,55    194    199     8,05    9,44    7,29    6,52    2954    38,6    26,9  65",93.55,194,199,8.05,9.44,7.29,6.52,2954,38.6,26.9,65
SILVA2009_HOLLOW,70C_A3,SILVA2009,196,170,A3,7,60,main_drying,"60     93,22    193    198     8,08    9,39    7,30    6,61    2933    39,0    26,9  63",93.22,193,198,8.08,9.39,7.30,6.61,2933,39.0,26.9,63
SILVA2009_HOLLOW,70C_A3,SILVA2009,196,170,A3,8,70,main_drying,"70     92,86    192    198     7,99    8,95    7,17     6,52   2910    41,0    26.9  63",92.86,192,198,7.99,8.95,7.17,6.52,2910,41.0,26.9,63
SILVA2009_HOLLOW,70C_A3,SILVA2009,196,170,A3,9,80,main_drying,"80     92,51    192    197     8,08    9,46    7,18     6,57   2894    39,0    26.9  63",92.51,192,197,8.08,9.46,7.18,6.57,2894,39.0,26.9,63
SILVA2009_HOLLOW,70C_A3,SILVA2009,196,170,A3,10,90,main_drying,"90     92,11    191    197     8,10    9,44    7,19     6,55   2880    40,3    26,9  62",92.11,191,197,8.10,9.44,7.19,6.55,2880,40.3,26.9,62
SILVA2009_HOLLOW,70C_A3,SILVA2009,196,170,A3,11,100,main_drying,"100    91,52    191    197     8,03    9,28    7,19     6,61   2865    41,2    26,9  64",91.52,191,197,8.03,9.28,7.19,6.61,2865,41.2,26.9,64
SILVA2009_HOLLOW,70C_A3,SILVA2009,196,170,A3,12,110,main_drying,"110    91,32    190    196     8,05    9,57    7,30     6,71   2847    41,7    26,9  66",91.32,190,196,8.05,9.57,7.30,6.71,2847,41.7,26.9,66
SILVA2009_HOLLOW,70C_A3,SILVA2009,196,170,A3,13,120,main_drying,"120    90,95    189    196     8,06    9,46    7,28     6,56   2835    41,3    26,9  66",90.95,189,196,8.06,9.46,7.28,6.56,2835,41.3,26.9,66
SILVA2009_HOLLOW,70C_A3,SILVA2009,196,170,A3,14,130,main_drying,"130    90,72    189     195    8,06    9,51    7,34     6,64   2820    43,0    26,9  67",90.72,189,195,8.06,9.51,7.34,6.64,2820,43.0,26.9,67
SILVA2009_HOLLOW,70C_A3,SILVA2009,196,170,A3,15,140,main_drying,"140    90,42    189    194     8,05    9,47    7,32     6,72   2807    42,5    26,9  68",90.42,189,194,8.05,9.47,7.32,6.72,2807,42.5,26.9,68
SILVA2009_HOLLOW,70C_A3,SILVA2009,196,170,A3,16,150,main_drying,"150    90,26    189    195     8,05    9,46    7,26     6,98   2795    42,5    26,9  68",90.26,189,195,8.05,9.46,7.26,6.98,2795,42.5,26.9,68
SILVA2009_HOLLOW,70C_A3,SILVA2009,196,170,A3,17,160,main_drying,"160    90,01    188    194     8,05    9,24    7,26     6,74   2783    46,2    26,8  69",90.01,188,194,8.05,9.24,7.26,6.74,2783,46.2,26.8,69
