candidate_id,condition_id,source_id,mass_table,temperature_table,source_mass_pdf_page,source_mass_row_on_page,mass_source_lexeme,mass_kg_from_nomenclature,author_M_dry_basis,author_M_star,time_source_lexeme,time_min,source_mass_numeric_row,source_temperature_pdf_page,source_temperature_row_on_page,surface_temperature_source_lexeme,surface_temperature_C,author_T_star,source_temperature_numeric_row,protocol_segment_inferred
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,1,7.316,7.316,0.170186,1,0,0,"0,170186 0,001189          7.316     0,170186          1           0        100",161,1,"29,8",29.8,0,"0         29,8         64,7        29,8           0           0",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,2,7.300,7.300,0.167626,0.984857,5,5,"7.300     0,167626 0,984857             5      98,48566",161,2,"35,7",35.7,0.169054,"5                                  35,7      0,169054 16,90544",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,3,7.287,7.287,0.165547,0.972553,10,10,"7.287     0,165547 0,972553             10     97,25525",161,3,"36,7",36.7,0.197708,"10                                 36,7      0,197708 19,77077",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,4,7.270,7.270,0.162828,0.956463,15,15,"7.270     0,162828 0,956463             15     95,64627",161,4,"38,6",38.6,0.252149,"15                                 38,6      0,252149 25,21490",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,5,7.258,7.258,0.160909,0.945105,20,20,"7.258     0,160909 0,945105             20     94,51051",161,5,"37,6",37.6,0.223496,"20                                 37,6      0,223496 22,34957",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,6,7.241,7.241,0.158189,0.929015,25,25,"7.241     0,158189 0,929015             25     92,90152",161,6,"40,0",40.0,0.292264,"25                                 40,0      0,292264 29,22636",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,7,7.223,7.223,0.155310,0.911979,30,30,"7.223     0,155310 0,911979             30     91,19788",161,7,"40,3",40.3,0.300860,"30                                 40,3      0,300860 30,08596",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,8,7.182,7.182,0.148752,0.873174,40,40,"7.182     0,148752 0,873174             40     87,31738",161,8,"43,2",43.2,0.383954,"40                                 43,2      0,383954 38,39542",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,9,7.136,7.136,0.141395,0.829636,50,50,"7.136     0,141395 0,829636             50     82,96365",161,9,"45,2",45.2,0.441261,"50                                 45,2      0,441261 44,12607",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,10,7.112,7.112,0.137556,0.806921,60,60,"7.112     0,137556 0,806921             60     80,69213",161,10,"47,8",47.8,0.515759,"60                                 47,8      0,515759 51,57593",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,11,7.077,7.077,0.131958,0.773795,70,70,"7.077     0,131958 0,773795             70     77,37951",161,11,"48,7",48.7,0.541547,"70                                 48,7      0,541547 54,15473",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,12,7.040,7.040,0.126040,0.738776,80,80,"7.040     0,126040 0,738776             80     73,87759",161,12,"49,4",49.4,0.561605,"80                                 49,4      0,561605 56,16046",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,13,7.003,7.003,0.120122,0.703757,90,90,"7.003     0,120122 0,703757             90     70,37568",161,13,"50,9",50.9,0.604585,"90                                 50,9      0,604585 60,45845",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,14,6.897,6.897,0.103167,0.603432,120,120,"6.897     0,103167 0,603432            120     60,34316",161,14,"56,7",56.7,0.770774,"120                                 56,7      0,770774 77,07736",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,15,6.795,6.795,0.086852,0.506892,150,150,"6.795     0,086852 0,506892            150     50,68922",161,15,"58,5",58.5,0.822350,"150                                 58,5      0,822350 82,23496",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,16,6.713,6.713,0.073736,0.429282,180,180,"6.713     0,073736 0,429282            180     42,92822",161,16,"60,1",60.1,0.868195,"180                                 60,1      0,868195 86,81948",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,17,6.643,6.643,0.062540,0.363030,210,210,"6.643     0,062540 0,363030            210     36,30297",161,17,"62,7",62.7,0.942693,"210                                 62,7      0,942693 94,26934",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,18,6.590,6.590,0.054063,0.312867,240,240,"6.590     0,054063 0,312867            240     31,28671",161,18,"62,2",62.2,0.928367,"240                                 62,2      0,928367 92,83668",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,19,6.540,6.540,0.046065,0.265544,270,270,"6.540     0,046065 0,265544            270     26,55439",161,19,"62,2",62.2,0.928367,"270                                 62,2      0,928367 92,83668",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,20,6.468,6.468,0.034549,0.197398,330,330,"6.468     0,034549 0,197398            330     19,73985",161,20,"63,2",63.2,0.957020,"330                                 63,2      0,957020 95,70201",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,21,6.420,6.420,0.026871,0.151968,390,390,"6.420     0,026871 0,151968            390     15,19682",161,21,"64,3",64.3,0.988539,"390                                 64,3      0,988539 98,85387",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,22,6.385,6.385,0.021273,0.118842,450,450,"6.385     0,021273 0,118842            450     11,88420",161,22,"64,1",64.1,0.982808,"450                                 64,1      0,982808 98,28080",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,23,6.363,6.363,0.017754,0.098020,510,510,"6.363     0,017754 0,098020            510     9,801976",161,23,"64,5",64.5,0.994269,"510                                 64,5      0,994269 99,42693",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,159,24,6.345,6.345,0.014875,0.080983,570,570,"6.345     0,014875 0,080983            570     8,098341",161,24,"66,0",66.0,1.037249,"570                                 66,0      1,037249 103,7249",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,160,1,6.335,6.335,0.013276,0.071519,630,630,"6.335       0,013276 0,071519            630      7,151877",161,25,"64,5",64.5,0.994269,"630                                 64,5      0,994269 99,42693",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,160,2,6.327,6.327,0.011996,0.063947,690,690,"6.327       0,011996 0,063947            690      6,394706",161,26,"67,0",67.0,1.065903,"690                                 67,0      1,065903 106,5903",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,160,3,6.321,6.321,0.011036,0.058268,750,750,"6.321       0,011036 0,058268            750      5,826827",161,27,"64,7",64.7,1,"750                                 64,7           1          100",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,160,4,6.316,6.316,0.010237,0.053536,810,810,"6.316       0,010237 0,053536            810      5,353595",161,28,"65,6",65.6,1.025788,"810                                 65,6      1,025788 102,5788",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,160,5,6.311,6.311,0.009437,0.048804,870,870,"6.311       0,009437 0,048804            870      4,880363",161,29,"59,9",59.9,0.862464,"870                                 59,9      0,862464 86,24642",main_drying
SILVA2018_COMPENSATOR07,70C_C1_C2,SILVA2018,C.1,C.2,160,6,6.311,6.311,0.009437,0.048804,930,930,"6.311       0,009437 0,048804            930      4,880363",161,30,"63,5",63.5,0.965616,"930                                 63,5      0,965616 96,56160",main_drying
