source_id,condition_id,joined_time_min,source_internal_time_lexeme,source_external_time_lexeme,internal_pdf_page,internal_row_on_page,external_pdf_page,external_row_on_page,protocol_segment,source_internal_numeric_row,source_external_numeric_row,D_mm,CF1_mm,LF1_mm,CF2_mm,LF2_mm,CF3_mm,LF3_mm,CF4_mm,LF4_mm,A_mm_as_printed,C_mm_as_printed,L_mm_as_printed,author_volume_mm3_lexeme,author_volume_mm3,author_V_over_V0,author_V_over_V0_percent
SILVA2018,70C_C3_C4,0,0,0,163,1,165,1,main_drying,"0       15,40    33,41    15,97    74,00    75,61    36,75    26,54   31,04      62,84",0       142      300     200    3.682.082 3.682.082            1          100,15.40,33.41,15.97,74.00,75.61,36.75,26.54,31.04,62.84,142,300,200,3.682.082,3682082,1,100
SILVA2018,70C_C3_C4,5,5,5,163,2,165,2,main_drying,"5       15,71    33,95    16,05    73,86    75,93    36,76    26,43   31,16      62,85","5       142      300     200                 3.645.042 0,989941 98,99405",15.71,33.95,16.05,73.86,75.93,36.76,26.43,31.16,62.85,142,300,200,3.645.042,3645042,0.989941,98.99405
SILVA2018,70C_C3_C4,10,10,10,163,3,165,3,main_drying,"10      15,85    33,90    16,12    74,09    76,18    36,72    26,86   31,60      63,03","10      142      300     199                 3.587.621 0,974346 97,43458",15.85,33.90,16.12,74.09,76.18,36.72,26.86,31.60,63.03,142,300,199,3.587.621,3587621,0.974346,97.43458
SILVA2018,70C_C3_C4,15,15,15,163,4,165,4,main_drying,"15      15,73    33,99    16,30    74,12    76,43    35,83    26,93   31,58      62,74","15      141      299     199                 3.494.977 0,949185 94,91848",15.73,33.99,16.30,74.12,76.43,35.83,26.93,31.58,62.74,141,299,199,3.494.977,3494977,0.949185,94.91848
SILVA2018,70C_C3_C4,20,20,20,163,5,165,5,main_drying,"20      16,51    33,55    16,43    74,23    76,15    36,17    27,10 31,64        62,19","20      141      298     198                 3.436.019 0,933173 93,31728",16.51,33.55,16.43,74.23,76.15,36.17,27.10,31.64,62.19,141,298,198,3.436.019,3436019,0.933173,93.31728
SILVA2018,70C_C3_C4,25,25,25,163,6,165,6,main_drying,"25      16,28    33,93    16,72    74,41    76,72    36,39    27,12   31,63      62,27","25      141      299     193                 3.316.590 0,900738 90,07377",16.28,33.93,16.72,74.41,76.72,36.39,27.12,31.63,62.27,141,299,193,3.316.590,3316590,0.900738,90.07377
SILVA2018,70C_C3_C4,30,30,30,163,7,165,7,main_drying,"30      15,99    33,93    16,87    74,39    76,49    36,33    27,26   31,53      62,21","30      140      298     198                 3.315.567 0,900460 90,04598",15.99,33.93,16.87,74.39,76.49,36.33,27.26,31.53,62.21,140,298,198,3.315.567,3315567,0.900460,90.04598
SILVA2018,70C_C3_C4,40,40,40,163,8,165,8,main_drying,"40      16,29    33,85    17,18    74,28    76,49    35,94    26,87   30,95      61,68","40      140      297     197                 3.276.713 0,889907 88,99075",16.29,33.85,17.18,74.28,76.49,35.94,26.87,30.95,61.68,140,297,197,3.276.713,3276713,0.889907,88.99075
SILVA2018,70C_C3_C4,50,50,50,163,9,165,9,main_drying,"50      16,71    33,29    17,13    74,27    76,28    35,43    26,66   31,11      60,92","50      139      296     196                 3.218.327 0,874051 87,40508",16.71,33.29,17.13,74.27,76.28,35.43,26.66,31.11,60.92,139,296,196,3.218.327,3218327,0.874051,87.40508
SILVA2018,70C_C3_C4,60,60,60,163,10,165,10,main_drying,"60      16,49    33,24    17,71    73,98    76,56    35,47    26,09   30,47      60,00","60      140      294     195                 3.194.946 0,867701 86,77009",16.49,33.24,17.71,73.98,76.56,35.47,26.09,30.47,60.00,140,294,195,3.194.946,3194946,0.867701,86.77009
SILVA2018,70C_C3_C4,70,70,70,163,11,165,11,main_drying,"70      16,47    32,84    17,99    73,88    75,90    35,51    26,33   30,78      60,77","70      139      293     194                 3.096.307 0,840912 84,09119",16.47,32.84,17.99,73.88,75.90,35.51,26.33,30.78,60.77,139,293,194,3.096.307,3096307,0.840912,84.09119
SILVA2018,70C_C3_C4,80,80,80,163,12,165,12,main_drying,"80      16,83    32,96    18,43    73,42    75,36    35,60    26,02   30,59      60,80","80      139      293     194                 3.087.933 0,838638 83,86378",16.83,32.96,18.43,73.42,75.36,35.60,26.02,30.59,60.80,139,293,194,3.087.933,3087933,0.838638,83.86378
SILVA2018,70C_C3_C4,90,90,90,163,13,165,13,main_drying,"90      16,33    32,82    18,56    73,01    75,30    35,33    25,88   30,45      61,06","90      139      292     193                 3.074.306 0,834937 83,49367",16.33,32.82,18.56,73.01,75.30,35.33,25.88,30.45,61.06,139,292,193,3.074.306,3074306,0.834937,83.49367
SILVA2018,70C_C3_C4,120,120,120,163,14,165,14,main_drying,"120      15,89    32,75    18,06    72,28    74,45    35,33    25,71   30,12      60,38","120      138      291     192                 3.082.199 0,837080 83,70804",15.89,32.75,18.06,72.28,74.45,35.33,25.71,30.12,60.38,138,291,192,3.082.199,3082199,0.837080,83.70804
SILVA2018,70C_C3_C4,150,150,150,163,15,165,15,main_drying,"150      16,09    32,76    17,13    71,62    74,07    35,46    25,98   29,96      60,42","150      138      289     191                 3.099.925 0,841894 84,18945",16.09,32.76,17.13,71.62,74.07,35.46,25.98,29.96,60.42,138,289,191,3.099.925,3099925,0.841894,84.18945
