time_min,envelope_volume_mm3,hole_section_math_pi_mm2,printed_C_depth_net_volume_mm3,L_depth_math_pi_net_volume_mm3,L_depth_pi314_net_volume_mm3,published_net_volume_mm3,printed_C_minus_published_mm3,L_math_pi_minus_published_mm3,L_pi314_minus_published_mm3,L_depth_macroscopic_hole_fraction
0,8520000,24189.9661137253553078800,1263010.1658823934076360000,3682006.7772549289384240000,3682082.320000,3682082,-2419071.8341176065923640000,-75.2227450710615760000,0.320000,0.5678395801343980119220657277
5,8520000,24375.1807474358406305513,1207445.7757692478108346100,3644963.8505128318738897400,3645042.465200,3645042,-2437596.2242307521891653900,-78.1494871681261102600,0.465200,0.5721873414891042401537863850
10,8477400,24572.1519604164617719425,1105754.4118750614684172500,3587541.7598771241073834425,3587621.381850,3587621,-2481866.5881249385315827500,-79.2401228758926165575,0.381850,0.5768110788830155345526408451
15,8389641,24596.6973808964178923897,1035228.4831119710501754797,3494898.2212016128394144497,3494976.642106,3494977,-2459748.5168880289498245203,-78.7787983871605855503,-0.357894,0.5834269641333147819537868545
20,8319564,24664.8022396747711349193,969452.9325769182017940486,3435933.1565443953152859786,3436019.113428,3436019,-2466566.0674230817982059514,-85.8434556046847140214,0.113428,0.5870056223445849667980222762
25,8136687,24975.0155903591929930512,669157.3384826012950776912,3316508.9910606757523411184,3316590.459132,3316590,-2647432.6615173987049223088,-81.0089393242476588816,0.459132,0.5924005690447874236355511279
30,8260560,24975.1186238291036332193,817974.6500989271173006486,3315486.5124818374806225786,3315567.140028,3315567,-2497592.3499010728826993514,-80.4875181625193774214,0.140028,0.5986365921339670094251989453
40,8191260,24947.3635070864671886313,781893.0383953192449765039,3276629.3891039659638396339,3276712.647822,3276713,-2494819.9616046807550234961,-83.6108960340361603661,-0.352178,0.5999846923301218660084487734
50,8064224,24724.4083812652217196113,745799.1191454943709950552,3218239.9572720165429561852,3218327.119896,3218327,-2472527.8808545056290049448,-87.0427279834570438148,0.119896,0.6009237891616085387811418433
60,8026200,24776.0937885234018715393,742028.4261741198497674458,3194861.7112379366350498365,3194946.160770,3194946,-2452917.5738258801502325542,-84.2887620633649501635,0.160770,0.6019459132294315323503231293
70,7901038,24767.0882506461554799937,644281.1425606764443618459,3096222.8793746458368812222,3096306.692156,3096307,-2452025.8574393235556381541,-84.1206253541631187778,-0.307844,0.6081245427025353077809242026
80,7901038,24810.2686633773899184777,631629.2816304247538860339,3087845.8793047863558153262,3087933.396076,3087933,-2456303.7183695752461139661,-87.1206952136441846738,0.396076,0.6091847831506712971364868515
90,7833484,24659.3800571808711505377,632945.0233031856240429916,3074223.6489640918679462239,3074305.618222,3074306,-2441360.9766968143759570084,-82.3510359081320537761,-0.381778,0.6075534654868648652443505470
120,7710336,24105.2821264494593731353,695698.9012032073224176277,3082121.8317217038003580224,3082199.041152,3082199,-2386500.0987967926775823723,-77.1682782961996419776,0.041152,0.6002610221238472875425892724
150,7617462,23652.4397530618196891633,781906.9113651341098318063,3099846.0071651924393698097,3099924.760106,3099925,-2318018.0886348658901681937,-78.9928348075606301903,-0.239894,0.5930605223675297048584148237
