selection_id,source_id,figure,article_page,run,material_id,diameter_cm,gas_temperature_degC,gas_velocity_m_s,quantity,role,x_px,y_px,x_readout_halfwidth_px,y_readout_halfwidth_px,axis_readout_halfwidth_px,time_min,time_s,time_readout_lower_s,time_readout_upper_s,time_readout_bound_s,value_degC,temperature_readout_lower_degC,temperature_readout_upper_degC,temperature_readout_bound_degC,plotted_sd_degC,selection_method
figure8-red-001,SRC_NYLEN_2024_BIOSOLIDS_DRYING,8,2052,6,MSJ,4,138,2.4,internal_temperature_degC,development,851.5,493.5,3,3,1,115.887096774,6953.225806452,6914.516129032,6991.935483871,38.709677419,61.624685139,60.919395466,62.329974811,0.705289673,,reviewed_isolated_eroded_core
figure8-red-002,SRC_NYLEN_2024_BIOSOLIDS_DRYING,8,2052,6,MSJ,4,138,2.4,internal_temperature_degC,development,857.5,470.5,3,3,1,116.85483871,7011.290322581,6972.580645161,7050.0,38.709677419,65.680100756,64.974811083,66.385390428,0.705289673,,reviewed_isolated_eroded_core
figure8-red-003,SRC_NYLEN_2024_BIOSOLIDS_DRYING,8,2052,6,MSJ,4,138,2.4,internal_temperature_degC,development,864.5,428.5,3,3,1,117.983870968,7079.032258065,7040.322580645,7117.741935484,38.709677419,73.085642317,72.380352645,73.79093199,0.705289673,,reviewed_isolated_eroded_core
figure8-red-004,SRC_NYLEN_2024_BIOSOLIDS_DRYING,8,2052,6,MSJ,4,138,2.4,internal_temperature_degC,development,870.5,379.5,3,3,1,118.951612903,7137.096774194,7098.387096774,7175.806451613,38.709677419,81.725440806,81.020151134,82.430730479,0.705289673,,reviewed_isolated_eroded_core
figure8-red-005,SRC_NYLEN_2024_BIOSOLIDS_DRYING,8,2052,6,MSJ,4,138,2.4,internal_temperature_degC,development,876.5,337.5,3,3,1,119.919354839,7195.161290323,7156.451612903,7233.870967742,38.709677419,89.130982368,88.425692695,89.83627204,0.705289673,,reviewed_isolated_eroded_core
figure8-red-006,SRC_NYLEN_2024_BIOSOLIDS_DRYING,8,2052,6,MSJ,4,138,2.4,internal_temperature_degC,development,882.5,297.5,3,3,1,120.887096774,7253.225806452,7214.516129032,7291.935483871,38.709677419,96.183879093,95.478589421,96.889168766,0.705289673,,reviewed_isolated_eroded_core
figure8-red-007,SRC_NYLEN_2024_BIOSOLIDS_DRYING,8,2052,6,MSJ,4,138,2.4,internal_temperature_degC,development,888.5,266.5,3,3,1,121.85483871,7311.290322581,7272.580645161,7350.0,38.709677419,101.649874055,100.944584383,102.355163728,0.705289673,,reviewed_isolated_eroded_core
figure8-red-008,SRC_NYLEN_2024_BIOSOLIDS_DRYING,8,2052,6,MSJ,4,138,2.4,internal_temperature_degC,development,894.5,226.5,3,3,1,122.822580645,7369.35483871,7330.64516129,7408.064516129,38.709677419,108.702770781,107.997481108,109.408060453,0.705289673,,reviewed_isolated_eroded_core
figure8-red-009,SRC_NYLEN_2024_BIOSOLIDS_DRYING,8,2052,6,MSJ,4,138,2.4,internal_temperature_degC,development,901.0,184.0,3,3,1,123.870967742,7432.258064516,7393.548387097,7470.967741935,38.709677419,116.196473552,115.491183879,116.901763224,0.705289673,,reviewed_isolated_eroded_core
figure8-red-010,SRC_NYLEN_2024_BIOSOLIDS_DRYING,8,2052,6,MSJ,4,138,2.4,internal_temperature_degC,development,907.5,138.5,3,3,1,124.919354839,7495.161290323,7456.451612903,7533.870967742,38.709677419,124.219143577,123.513853904,124.924433249,0.705289673,,reviewed_isolated_eroded_core
figure8-red-011,SRC_NYLEN_2024_BIOSOLIDS_DRYING,8,2052,6,MSJ,4,138,2.4,internal_temperature_degC,development,913.5,107.5,3,3,1,125.887096774,7553.225806452,7514.516129032,7591.935483871,38.709677419,129.685138539,128.979848866,130.390428212,0.705289673,,reviewed_isolated_eroded_core
figure8-red-012,SRC_NYLEN_2024_BIOSOLIDS_DRYING,8,2052,6,MSJ,4,138,2.4,internal_temperature_degC,development,919.5,87.5,3,3,1,126.85483871,7611.290322581,7572.580645161,7650.0,38.709677419,133.211586902,132.506297229,133.916876574,0.705289673,,reviewed_isolated_eroded_core
