First interactive profiling attempt omitted src import path and exited before physical evaluation. This run explicitly loaded src and examples/sandbox.
         145558 function calls (145114 primitive calls) in 0.221 seconds

   Ordered by: cumulative time
   List reduced from 126 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.221    0.221 /Users/wanggaoying/Desktop/brickmodel-github/examples/sandbox/sorptive_source_formulas.py:235(fluxes)
       15    0.000    0.000    0.221    0.015 /Users/wanggaoying/Desktop/brickmodel-github/examples/sandbox/sorptive_source_formulas.py:247(evaluate)
       45    0.000    0.000    0.218    0.005 /Users/wanggaoying/Desktop/brickmodel-github/examples/sandbox/sorptive_source_formulas.py:188(condensed_fields)
     46/4    0.000    0.000    0.215    0.054 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_minpack_py.py:194(_root_hybr)
        1    0.000    0.000    0.208    0.208 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_root.py:25(root)
       14    0.000    0.000    0.208    0.015 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_root.py:210(_wrapped_fun)
       14    0.000    0.000    0.208    0.015 /Users/wanggaoying/Desktop/brickmodel-github/examples/sandbox/sorptive_source_formulas.py:269(residual)
     46/7    0.000    0.000    0.206    0.029 {built-in method scipy.optimize._minpack._hybrd}
   225/45    0.000    0.000    0.186    0.004 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/iapws/iapws95.py:496(__init__)
   225/45    0.000    0.000    0.186    0.004 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/iapws/iapws95.py:503(__call__)
       45    0.001    0.000    0.185    0.004 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/iapws/iapws95.py:578(calculo)
       15    0.000    0.000    0.154    0.010 /Users/wanggaoying/Desktop/brickmodel-github/examples/sandbox/sorptive_source_formulas.py:207(condensed_between_states)
       45    0.000    0.000    0.115    0.003 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_minpack_py.py:46(fsolve)
      270    0.000    0.000    0.114    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_minpack_py.py:153(_wrapped_func)
      270    0.001    0.000    0.114    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/iapws/iapws95.py:637(f)
      270    0.112    0.000    0.112    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/iapws/iapws95.py:112(_phird)
      225    0.003    0.000    0.043    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/iapws/iapws95.py:1759(_Helmholtz)
       90    0.001    0.000    0.042    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/iapws/iapws95.py:1588(fill)
      225    0.037    0.000    0.038    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/iapws/iapws95.py:1924(_phir)
       45    0.000    0.000    0.032    0.001 /Users/wanggaoying/Desktop/brickmodel-github/examples/sandbox/sorptive_source_formulas.py:44(excess)


