selection_id,source_csv_line,condition_id,source_x_px,source_y_px,strict_interior_for_monotone_interval,reference_time_s,saved_minus_reference_time_s,reference_time_readout_lower_s,saved_minus_reference_time_readout_lower_s,reference_time_readout_upper_s,saved_minus_reference_time_readout_upper_s,reference_temperature_K,saved_minus_reference_temperature_K,reference_temperature_readout_lower_K,saved_minus_reference_temperature_readout_lower_K,reference_temperature_readout_upper_K,saved_minus_reference_temperature_readout_upper_K,max_absolute_time_difference_s,max_absolute_temperature_difference_K,within_binary64_plus_12_decimal_representation_bound
figure8-gray-001,37,MSJ-138-2cm-2.4,387.0,441.5,True,2458.064516129032258,-2.58064516E-13,2419.354838709677419,5.80645161E-13,2496.774193548387097,-9.67741935E-14,343.943450881612091,-9.06801008E-14,343.238161209068010,-1.00755668E-14,344.648740554156171,-1.71284635E-13,5.806451612903226e-13,1.712846347607053e-13,True
figure8-gray-002,38,MSJ-138-2cm-2.4,393.0,419.0,True,2516.129032258064516,-5.16129032E-13,2477.419354838709677,3.22580645E-13,2554.838709677419355,6.45161290E-13,347.910705289672544,4.55919395E-13,347.205415617128463,-4.63476071E-13,348.615994962216625,3.75314861E-13,6.451612903225807e-13,4.634760705289672e-13,True
figure8-gray-003,39,MSJ-138-2cm-2.4,400,390,True,2583.870967741935484,5.16129032E-13,2545.161290322580645,-6.45161290E-13,2622.580645161290323,-3.22580645E-13,353.024055415617128,-1.28463476E-13,352.318765743073048,-4.78589421E-14,353.729345088161209,-2.09068010E-13,6.451612903225807e-13,2.0906801007556674e-13,True
figure8-gray-004,40,MSJ-138-2cm-2.4,405.5,347.0,True,2637.096774193548387,-3.87096774E-13,2598.387096774193548,4.51612903E-13,2675.806451612903226,-2.25806452E-13,360.605919395465995,5.03778338E-15,359.900629722921914,8.56423174E-14,361.311209068010076,-7.55667506E-14,4.5161290322580647e-13,8.564231738035265e-14,True
figure8-gray-005,41,MSJ-138-2cm-2.4,411.5,284.5,True,2695.161290322580645,-6.45161290E-13,2656.451612903225806,1.93548387E-13,2733.870967741935484,5.16129032E-13,371.626070528967254,-2.54408060E-13,370.920780856423174,-1.73803526E-13,372.331360201511335,-3.35012594E-13,6.451612903225807e-13,3.350125944584383e-13,True
figure8-gray-006,42,MSJ-138-2cm-2.4,418.0,225.5,True,2758.064516129032258,-2.58064516E-13,2719.354838709677419,5.80645161E-13,2796.774193548387097,-9.67741935E-14,382.029093198992443,-4.43324937E-13,381.323803526448363,-3.62720403E-13,382.734382871536524,4.76070529E-13,5.806451612903226e-13,4.760705289672545e-13,True
figure8-gray-007,43,MSJ-138-2cm-2.4,424.0,174.5,True,2816.129032258064516,-5.16129032E-13,2777.419354838709677,3.22580645E-13,2854.838709677419355,6.45161290E-13,391.021536523929471,-4.71032746E-13,390.316246851385390,-3.90428212E-13,391.726826196473552,4.48362720E-13,6.451612903225807e-13,4.710327455919395e-13,True
figure8-gray-008,44,MSJ-138-2cm-2.4,430.5,129.5,True,2879.032258064516129,-1.29032258E-13,2840.322580645161290,-2.90322581E-13,2917.741935483870968,3.22580645E-14,398.956045340050378,-3.77833753E-13,398.250755667506297,-2.97229219E-13,399.661335012594458,-4.58438287E-13,2.903225806451613e-13,4.584382871536524e-13,True
figure8-red-001,2,MSJ-138-4cm-2.4,851.5,493.5,True,6953.225806451612903,9.67741935E-14,6914.516129032258065,9.35483871E-13,6991.935483870967742,2.58064516E-13,334.774685138539043,-4.28211587E-14,334.069395465994962,3.77833753E-14,335.479974811083123,-1.23425693E-13,9.354838709677419e-13,1.234256926952141e-13,True
figure8-red-002,3,MSJ-138-4cm-2.4,857.5,470.5,True,7011.290322580645161,-1.61290323E-13,6972.580645161290323,6.77419355E-13,7050.000000000000000,0.00000000E-38,338.830100755667506,4.93702771E-13,338.124811083123426,-4.25692695E-13,339.535390428211587,4.13098237E-13,6.774193548387097e-13,4.937027707808564e-13,True
figure8-red-003,4,MSJ-138-4cm-2.4,864.5,428.5,True,7079.032258064516129,-1.29032258E-13,7040.322580645161290,-2.90322581E-13,7117.741935483870968,3.22580645E-14,346.235642317380353,-3.52644836E-13,345.530352644836272,-2.72040302E-13,346.940931989924433,-4.33249370E-13,2.903225806451613e-13,4.332493702770781e-13,True
figure8-red-004,5,MSJ-138-4cm-2.4,870.5,379.5,True,7137.096774193548387,-3.87096774E-13,7098.387096774193548,-5.48387097E-13,7175.806451612903226,-2.25806452E-13,354.875440806045340,-3.40050378E-13,354.170151133501259,-2.59445844E-13,355.580730478589421,-4.20654912E-13,5.483870967741935e-13,4.206549118387909e-13,True
figure8-red-005,6,MSJ-138-4cm-2.4,876.5,337.5,True,7195.161290322580645,-6.45161290E-13,7156.451612903225806,-8.06451613E-13,7233.870967741935484,5.16129032E-13,362.280982367758186,-1.86397985E-13,361.575692695214106,-1.05793451E-13,362.986272040302267,-2.67002519E-13,8.064516129032258e-13,2.6700251889168766e-13,True
figure8-red-006,7,MSJ-138-4cm-2.4,882.5,297.5,True,7253.225806451612903,9.67741935E-14,7214.516129032258065,9.35483871E-13,7291.935483870967742,2.58064516E-13,369.333879093198992,7.55667506E-15,368.628589420654912,8.81612091E-14,370.039168765743073,-7.30478589E-14,9.354838709677419e-13,8.816120906801007e-14,True
figure8-red-007,8,MSJ-138-4cm-2.4,888.5,266.5,True,7311.290322580645161,-1.61290323E-13,7272.580645161290323,6.77419355E-13,7350.000000000000000,0.00000000E-38,374.799874055415617,3.82871537E-13,374.094584382871537,4.63476071E-13,375.505163727959698,3.02267003E-13,6.774193548387097e-13,4.634760705289672e-13,True
figure8-red-008,9,MSJ-138-4cm-2.4,894.5,226.5,True,7369.354838709677419,-4.19354839E-13,7330.645161290322581,4.19354839E-13,7408.064516129032258,-2.58064516E-13,381.852770780856423,-4.23173804E-13,381.147481108312343,-3.42569270E-13,382.558060453400504,4.96221662E-13,4.193548387096774e-13,4.962216624685139e-13,True
figure8-red-009,10,MSJ-138-4cm-2.4,901.0,184.0,True,7432.258064516129032,-3.22580645E-14,7393.548387096774194,8.06451613E-13,7470.967741935483871,1.29032258E-13,389.346473551637280,-2.79596977E-13,388.641183879093199,-1.98992443E-13,390.051763224181360,-3.60201511E-13,8.064516129032258e-13,3.6020151133501257e-13,True
figure8-red-010,11,MSJ-138-4cm-2.4,907.5,138.5,True,7495.161290322580645,-6.45161290E-13,7456.451612903225806,-8.06451613E-13,7533.870967741935484,5.16129032E-13,397.369143576826196,-1.96473552E-13,396.663853904282116,-1.15869018E-13,398.074433249370277,-2.77078086E-13,8.064516129032258e-13,2.7707808564231736e-13,True
figure8-red-011,12,MSJ-138-4cm-2.4,913.5,107.5,True,7553.225806451612903,9.67741935E-14,7514.516129032258065,9.35483871E-13,7591.935483870967742,2.58064516E-13,402.835138539042821,1.78841310E-13,402.129848866498741,2.59445844E-13,403.540428211586902,9.82367758E-14,9.354838709677419e-13,2.594458438287154e-13,True
