source_id,source_locator,source_row,time_min_readback,mass_readback,mass_unit_interpretation,surface_temperature_C_readback,saved_csv_row,numeric_fields_match
SILVA2009,PDF196 printed170 TableA3,1,0,3055,g,26.0,2,True
SILVA2009,PDF196 printed170 TableA3,2,10,3038,g,36.5,3,True
SILVA2009,PDF196 printed170 TableA3,3,20,3016,g,38.2,4,True
SILVA2009,PDF196 printed170 TableA3,4,30,2995,g,36.5,5,True
SILVA2009,PDF196 printed170 TableA3,5,40,2974,g,37.0,6,True
SILVA2009,PDF196 printed170 TableA3,6,50,2954,g,38.6,7,True
SILVA2009,PDF196 printed170 TableA3,7,60,2933,g,39.0,8,True
SILVA2009,PDF196 printed170 TableA3,8,70,2910,g,41.0,9,True
SILVA2009,PDF196 printed170 TableA3,9,80,2894,g,39.0,10,True
SILVA2009,PDF196 printed170 TableA3,10,90,2880,g,40.3,11,True
SILVA2009,PDF196 printed170 TableA3,11,100,2865,g,41.2,12,True
SILVA2009,PDF196 printed170 TableA3,12,110,2847,g,41.7,13,True
SILVA2009,PDF196 printed170 TableA3,13,120,2835,g,41.3,14,True
SILVA2009,PDF196 printed170 TableA3,14,130,2820,g,43.0,15,True
SILVA2009,PDF196 printed170 TableA3,15,140,2807,g,42.5,16,True
SILVA2009,PDF196 printed170 TableA3,16,150,2795,g,42.5,17,True
SILVA2009,PDF196 printed170 TableA3,17,160,2783,g,46.2,18,True
SILVA2009,PDF196 printed170 TableA3,18,170,2770,g,46.9,19,True
SILVA2009,PDF196 printed170 TableA3,19,180,2761,g,47.7,20,True
SILVA2009,PDF196 printed170 TableA3,20,190,2753,g,48.2,21,True
SILVA2009,PDF196 printed170 TableA3,21,200,2744,g,50.1,22,True
SILVA2009,PDF196 printed170 TableA3,22,210,2737,g,52.1,23,True
SILVA2009,PDF196 printed170 TableA3,23,220,2732,g,52.2,24,True
SILVA2009,PDF196 printed170 TableA3,24,230,2725,g,53.2,25,True
SILVA2009,PDF196 printed170 TableA3,25,240,2718,g,53.8,26,True
SILVA2009,PDF196 printed170 TableA3,26,250,2714,g,54.8,27,True
SILVA2009,PDF196 printed170 TableA3,27,260,2710,g,55.3,28,True
SILVA2009,PDF196 printed170 TableA3,28,290,2697,g,59.7,29,True
SILVA2009,PDF196 printed170 TableA3,29,320,2687,g,60.6,30,True
SILVA2009,PDF196 printed170 TableA3,30,350,2679,g,61.5,31,True
SILVA2009,PDF196 printed170 TableA3,31,380,2674,g,62.3,32,True
