time_min,internal_page,internal_row,D_mm,CF1_mm,LF1_mm,CF2_mm,LF2_mm,CF3_mm,LF3_mm,CF4_mm,LF4_mm,external_page,external_row,A_mm_as_printed,C_mm_as_printed,L_mm_as_printed,author_volume_mm3,author_V_over_V0,author_V_over_V0_percent
0,163,1,15.40,33.41,15.97,74.00,75.61,36.75,26.54,31.04,62.84,165,1,142,300,200,3682082,1,100
5,163,2,15.71,33.95,16.05,73.86,75.93,36.76,26.43,31.16,62.85,165,2,142,300,200,3645042,0.989941,98.99405
10,163,3,15.85,33.90,16.12,74.09,76.18,36.72,26.86,31.60,63.03,165,3,142,300,199,3587621,0.974346,97.43458
15,163,4,15.73,33.99,16.30,74.12,76.43,35.83,26.93,31.58,62.74,165,4,141,299,199,3494977,0.949185,94.91848
20,163,5,16.51,33.55,16.43,74.23,76.15,36.17,27.10,31.64,62.19,165,5,141,298,198,3436019,0.933173,93.31728
25,163,6,16.28,33.93,16.72,74.41,76.72,36.39,27.12,31.63,62.27,165,6,141,299,193,3316590,0.900738,90.07377
30,163,7,15.99,33.93,16.87,74.39,76.49,36.33,27.26,31.53,62.21,165,7,140,298,198,3315567,0.900460,90.04598
40,163,8,16.29,33.85,17.18,74.28,76.49,35.94,26.87,30.95,61.68,165,8,140,297,197,3276713,0.889907,88.99075
50,163,9,16.71,33.29,17.13,74.27,76.28,35.43,26.66,31.11,60.92,165,9,139,296,196,3218327,0.874051,87.40508
60,163,10,16.49,33.24,17.71,73.98,76.56,35.47,26.09,30.47,60.00,165,10,140,294,195,3194946,0.867701,86.77009
70,163,11,16.47,32.84,17.99,73.88,75.90,35.51,26.33,30.78,60.77,165,11,139,293,194,3096307,0.840912,84.09119
80,163,12,16.83,32.96,18.43,73.42,75.36,35.60,26.02,30.59,60.80,165,12,139,293,194,3087933,0.838638,83.86378
90,163,13,16.33,32.82,18.56,73.01,75.30,35.33,25.88,30.45,61.06,165,13,139,292,193,3074306,0.834937,83.49367
120,163,14,15.89,32.75,18.06,72.28,74.45,35.33,25.71,30.12,60.38,165,14,138,291,192,3082199,0.837080,83.70804
150,163,15,16.09,32.76,17.13,71.62,74.07,35.46,25.98,29.96,60.42,165,15,138,289,191,3099925,0.841894,84.18945
180,163,16,15.74,32.84,16.40,71.43,74.00,35.60,26.12,29.46,60.62,165,16,138,288,191,3137398,0.852072,85.20717
210,163,17,15.54,32.51,15.96,71.20,73.28,35.63,26.16,29.98,60.97,165,17,137,288,192,3164184,0.859346,85.93464
240,163,18,15.65,32.38,15.91,70.82,73.33,35.34,26.27,30.22,60.80,165,18,137,288,191,3164410,0.859408,85.94076
270,163,19,15.58,32.63,16.40,71.26,73.59,35.65,26.27,30.41,61.07,165,19,137,288,192,3106740,0.843745,84.37453
330,163,20,15.88,32.73,16.01,71.08,73.21,35.55,26.34,30.32,60.96,165,20,137,288,192,3143942,0.853849,85.38488
390,163,21,15.61,32.70,16.27,71.34,73.09,35.68,25.78,30.43,60.90,165,21,137,288,192,3138342,0.852328,85.23281
450,163,22,15.80,32.78,16.27,71.32,73.64,35.74,26.22,30.49,60.90,165,22,137,288,191,3087114,0.838415,83.84153
510,163,23,15.62,32.37,16.12,71.45,72.99,35.69,26.21,30.24,60.92,165,23,137,288,191,3135075,0.851441,85.14407
570,163,24,15.71,32.73,16.17,71.33,72.96,35.63,25.94,30.35,60.78,165,24,137,288,191,3128578,0.849676,84.96763
630,163,25,15.64,32.65,15.96,70.91,73.34,35.49,26.33,30.48,61.10,165,25,137,288,191,3138815,0.852456,85.24564
690,163,26,15.45,32.71,16.08,71.31,73.18,35.71,26.32,30.33,61.00,165,26,137,288,191,3122495,0.848024,84.80243
750,163,27,15.49,32.72,16.22,71.26,73.19,35.71,26.19,30.48,61.13,165,27,137,288,191,3113053,0.845460,84.54599
810,163,28,15.76,32.09,16.55,71.31,73.22,35.55,26.08,30.39,61.05,165,28,137,288,191,3112631,0.845345,84.53454
870,163,29,15.66,32.76,16.47,70.92,73.48,35.79,25.97,30.54,61.04,165,29,137,288,191,3095507,0.840695,84.06947
930,163,30,15.49,32.62,16.47,70.95,73.13,35.65,26.18,30.39,60.79,165,30,137,288,191,3112870,0.845410,84.54102
990,164,1,15.57,32.72,16.29,71.32,73.33,35.78,25.85,30.45,61.04,166,1,137,288,191,3109589,0.844519,84.45191
2430,164,2,14.81,32.55,15.87,71.22,73.19,35.72,26.05,29.93,60.35,166,2,137,289,191,3199628,0.868972,86.89724
3870,164,3,13.87,31.77,15.75,72.22,72.77,34.03,27.25,29.16,60.80,166,3,136,287,190,3121759,0.847824,84.78243
