time_min,envelope_volume_mm3,hole_section_math_pi_mm2,printed_C_depth_net_volume_mm3,L_depth_math_pi_net_volume_mm3,L_depth_pi314_net_volume_mm3,published_net_volume_mm3,printed_C_minus_published_mm3,L_math_pi_minus_published_mm3,L_pi314_minus_published_mm3,L_depth_macroscopic_hole_fraction,L_pi314_exact_mm3,hole_fraction_exact
0,8520000,24189.96611372535530788,1263010.165882393407636,3682006.777254928938424,3682082.32,3682082,-2419071.834117606592364,-75.222745071061576,0.32,0.56783958013439801192206572769953051643192488262911,92052058/25,604749152843133882697/1065000000000000000000
5,8520000,24375.1807474358406305513,1207445.77576924781083461,3644963.85051283187388974,3645042.4652,3645042,-2437596.22423075218916539,-78.14948716812611026,0.4652,0.57218734148910424015378638497652582159624413145540,9112606163/2500,243751807474358406305513/426000000000000000000000
10,8477400,24572.1519604164617719425,1105754.41187506146841725,3587541.7598771241073834425,3587621.38185,3587621,-2481866.58812493853158275,-79.2401228758926165575,0.38185,0.57681107888301553455264084507042253521126760563380,71752427637/20000,3276286928055528236259/5680000000000000000000
15,8389641,24596.6973808964178923897,1035228.4831119710501754797,3494898.2212016128394144497,3494976.642106,3494977,-2459748.5168880289498245203,-78.7787983871605855503,-0.357894,0.58342696413331478195378685452691003107284328375910,1747488321053/500000,245966973808964178923897/421590000000000000000000
20,8319564,24664.8022396747711349193,969452.9325769182017940486,3435933.1565443953152859786,3436019.113428,3436019,-2466566.0674230817982059514,-85.8434556046847140214,0.113428,0.58700562234458496679802227616735684706554333856918,859004778357/250000,82216007465582570449731/140060000000000000000000
25,8136687,24975.0155903591929930512,669157.3384826012950776912,3316508.9910606757523411184,3316590.459132,3316590,-2647432.6615173987049223088,-81.0089393242476588816,0.459132,0.59240056904478742363555112787305201736284067458906,829147614783/250000,5203128247991498540219/8783125000000000000000
30,8260560,24975.1186238291036332193,817974.6500989271173006486,3315486.5124818374806225786,3315567.140028,3315567,-2497592.3499010728826993514,-80.4875181625193774214,0.140028,0.59863659213396700942519894534995206136145733461170,828891785007/250000,249751186238291036332193/417200000000000000000000
40,8191260,24947.3635070864671886313,781893.0383953192449765039,3276629.3891039659638396339,3276712.647822,3276713,-2494819.9616046807550234961,-83.6108960340361603661,-0.352178,0.59998469233012186600844877344877344877344877344877,1638356323911/500000,83157878356954890628771/138600000000000000000000
50,8064224,24724.4083812652217196113,745799.1191454943709950552,3218239.9572720165429561852,3218327.119896,3218327,-2472527.8808545056290049448,-87.0427279834570438148,0.119896,0.60092378916160853878114184328213105191522457709508,402290889987/125000,247244083812652217196113/411440000000000000000000
60,8026200,24776.0937885234018715393,742028.4261741198497674458,3194861.7112379366350498365,3194946.16077,3194946,-2452917.5738258801502325542,-84.2887620633649501635,0.16077,0.60194591322943153235032312925170068027210884353741,319494616077/100000,35394419697890574102199/58800000000000000000000
