source_id,table,pdf_page,condition_C,field,readback_value,f0e_value,decimal_difference
SILVA2018,4.15,109,50,A1,.387821,0.387821,0.000000
SILVA2018,4.15,109,50,K1,.004265,0.004265,0.000000
SILVA2018,4.15,109,50,A2,.091216,0.091216,0.000000
SILVA2018,4.15,109,50,K2,.000258,0.000258,0.000000
SILVA2018,4.15,109,50,A3,.535953,0.535953,0.000000
SILVA2018,4.15,109,50,K3,.003671,0.003671,0.000000
SILVA2018,4.15,109,50,source_R,.99946,0.99946,0.00000
SILVA2018,4.15,109,50,source_R2_percent,99.891,99.891,0.000
SILVA2018,4.15,109,50,source_loss,.004823258,0.004823258,0E-9
SILVA2018,4.15,109,60,A1,.574559,0.574559,0.000000
SILVA2018,4.15,109,60,K1,.004633,0.004633,0.000000
SILVA2018,4.15,109,60,A2,.419857,0.419857,0.000000
SILVA2018,4.15,109,60,K2,.004719,0.004719,0.000000
SILVA2018,4.15,109,60,A3,.040949,0.040949,0.000000
SILVA2018,4.15,109,60,K3,-.000146,-0.000146,0.000000
SILVA2018,4.15,109,60,source_R,.99869,0.99869,0.00000
SILVA2018,4.15,109,60,source_R2_percent,99.737,99.737,0.000
SILVA2018,4.15,109,60,source_loss,.011336955,0.011336955,0E-9
SILVA2018,4.15,109,70,A1,.511129,0.511129,0.000000
SILVA2018,4.15,109,70,K1,.004934,0.004934,0.000000
SILVA2018,4.15,109,70,A2,.510657,0.510657,0.000000
SILVA2018,4.15,109,70,K2,.004929,0.004929,0.000000
SILVA2018,4.15,109,70,A3,.018652,0.018652,0.000000
SILVA2018,4.15,109,70,K3,-.000326,-0.000326,0.000000
SILVA2018,4.15,109,70,source_R,.99875,0.99875,0.00000
SILVA2018,4.15,109,70,source_R2_percent,99.750,99.750,0.000
SILVA2018,4.15,109,70,source_loss,.010912852,0.010912852,0E-9
SILVA2018,4.15,109,80,A1,-.670062,-0.670062,0.000000
SILVA2018,4.15,109,80,K1,.018504,0.018504,0.000000
SILVA2018,4.15,109,80,A2,1.606741,1.606741,0.000000
SILVA2018,4.15,109,80,K2,.008782,0.008782,0.000000
SILVA2018,4.15,109,80,A3,.054324,0.054324,0.000000
SILVA2018,4.15,109,80,K3,.000440,0.000440,0.000000
SILVA2018,4.15,109,80,source_R,.99995,0.99995,0.00000
SILVA2018,4.15,109,80,source_R2_percent,99.989,99.989,0.000
SILVA2018,4.15,109,80,source_loss,.000472258,0.000472258,0E-9
SILVA2018,4.15,109,90,A1,.252810,0.252810,0.000000
SILVA2018,4.15,109,90,K1,.005576,0.005576,0.000000
SILVA2018,4.15,109,90,A2,.338899,0.338899,0.000000
SILVA2018,4.15,109,90,K2,.005921,0.005921,0.000000
SILVA2018,4.15,109,90,A3,.463447,0.463447,0.000000
SILVA2018,4.15,109,90,K3,.005702,0.005702,0.000000
SILVA2018,4.15,109,90,source_R,.99740,0.99740,0.00000
SILVA2018,4.15,109,90,source_R2_percent,99.481,99.481,0.000
SILVA2018,4.15,109,90,source_loss,.023480731,0.023480731,0E-9
SILVA2018,4.15,109,100,A1,.521918,0.521918,0.000000
SILVA2018,4.15,109,100,K1,.007286,0.007286,0.000000
SILVA2018,4.15,109,100,A2,.144841,0.144841,0.000000
SILVA2018,4.15,109,100,K2,.007151,0.007151,0.000000
SILVA2018,4.15,109,100,A3,.401816,0.401816,0.000000
SILVA2018,4.15,109,100,K3,.007247,0.007247,0.000000
SILVA2018,4.15,109,100,source_R,.99690,0.99690,0.00000
SILVA2018,4.15,109,100,source_R2_percent,99.380,99.380,0.000
SILVA2018,4.15,109,100,source_loss,.025547162,0.025547162,0E-9
SILVA2018,4.16,112,50,A1,-787.916,-787.916,0.000
SILVA2018,4.16,112,50,A2,67.19074,67.19074,0.00000
SILVA2018,4.16,112,50,A3,3389.015,3389.015,0.000
SILVA2018,4.16,112,50,K1,.634396,0.634396,0.000000
SILVA2018,4.16,112,50,source_R,.99203,0.99203,0.00000
SILVA2018,4.16,112,50,source_R2_percent,98.413,98.413,0.000
SILVA2018,4.16,112,50,source_loss,.020156985,0.020156985,0E-9
SILVA2018,4.16,112,60,A1,-.719279,-0.719279,0.000000
SILVA2018,4.16,112,60,A2,.031483,0.031483,0.000000
SILVA2018,4.16,112,60,A3,24257966,24257966,0
SILVA2018,4.16,112,60,K1,5.796751,5.796751,0.000000
SILVA2018,4.16,112,60,source_R,.97985,0.97985,0.00000
SILVA2018,4.16,112,60,source_R2_percent,96.011,96.011,0.000
SILVA2018,4.16,112,60,source_loss,.103145044,0.103145044,0E-9
SILVA2018,4.16,112,70,A1,-.430192,-0.430192,0.000000
SILVA2018,4.16,112,70,A2,.099995,0.099995,0.000000
SILVA2018,4.16,112,70,A3,24.29616,24.29616,0.00000
SILVA2018,4.16,112,70,K1,1.484782,1.484782,0.000000
SILVA2018,4.16,112,70,source_R,.98561,0.98561,0.00000
SILVA2018,4.16,112,70,source_R2_percent,97.144,97.144,0.000
SILVA2018,4.16,112,70,source_loss,.060579904,0.060579904,0E-9
SILVA2018,4.16,112,80,A1,-.916498,-0.916498,0.000000
SILVA2018,4.16,112,80,A2,.099981,0.099981,0.000000
SILVA2018,4.16,112,80,A3,743.2643,743.2643,0.0000
SILVA2018,4.16,112,80,K1,1.935063,1.935063,0.000000
SILVA2018,4.16,112,80,source_R,.98590,0.98590,0.00000
SILVA2018,4.16,112,80,source_R2_percent,97.200,97.200,0.000
SILVA2018,4.16,112,80,source_loss,.071052816,0.071052816,0E-9
SILVA2018,4.16,112,90,A1,-1.02358,-1.02358,0.00000
SILVA2018,4.16,112,90,A2,.099994,0.099994,0.000000
SILVA2018,4.16,112,90,A3,1737.664,1737.664,0.000
SILVA2018,4.16,112,90,K1,2.080468,2.080468,0.000000
SILVA2018,4.16,112,90,source_R,.98609,0.98609,0.00000
SILVA2018,4.16,112,90,source_R2_percent,97.236,97.236,0.000
SILVA2018,4.16,112,90,source_loss,.067527313,0.067527313,0E-9
SILVA2018,4.16,112,100,A1,-1.20292,-1.20292,0.00000
SILVA2018,4.16,112,100,A2,.100005,0.100005,0.000000
SILVA2018,4.16,112,100,A3,8471.309,8471.309,0.000
SILVA2018,4.16,112,100,K1,2.370514,2.370514,0.000000
SILVA2018,4.16,112,100,source_R,.98701,0.98701,0.00000
SILVA2018,4.16,112,100,source_R2_percent,97.418,97.418,0.000
SILVA2018,4.16,112,100,source_loss,.055786056,0.055786056,0E-9
SILVA2018,4.17,116,50,B1,138.8301,138.8301,0.0000
SILVA2018,4.17,116,50,B2,-28.3998,-28.3998,0.0000
SILVA2018,4.17,116,50,B3,1.743784,1.743784,0.000000
SILVA2018,4.17,116,50,B4,.799623,0.799623,0.000000
SILVA2018,4.17,116,50,source_R,.93609,0.93609,0.00000
SILVA2018,4.17,116,50,source_R2_percent,87.626,87.626,0.000
SILVA2018,4.17,116,50,source_loss,.010510213,0.010510213,0E-9
SILVA2018,4.17,116,60,B1,46.12506,46.12506,0.00000
SILVA2018,4.17,116,60,B2,-7.11487,-7.11487,0.00000
SILVA2018,4.17,116,60,B3,.578258,0.578258,0.000000
SILVA2018,4.17,116,60,B4,.875063,0.875063,0.000000
SILVA2018,4.17,116,60,source_R,.95756,0.95756,0.00000
SILVA2018,4.17,116,60,source_R2_percent,91.691,91.691,0.000
SILVA2018,4.17,116,60,source_loss,.005242792,0.005242792,0E-9
SILVA2018,4.17,116,70,B1,197.2900,197.2900,0.0000
SILVA2018,4.17,116,70,B2,-39.6807,-39.6807,0.0000
SILVA2018,4.17,116,70,B3,1.947327,1.947327,0.000000
SILVA2018,4.17,116,70,B4,.832275,0.832275,0.000000
SILVA2018,4.17,116,70,source_R,.96984,0.96984,0.00000
SILVA2018,4.17,116,70,source_R2_percent,94.058,94.058,0.000
SILVA2018,4.17,116,70,source_loss,.004023262,0.004023262,0E-9
SILVA2018,4.17,116,80,B1,128.3147,128.3147,0.0000
SILVA2018,4.17,116,80,B2,-18.4338,-18.4338,0.0000
SILVA2018,4.17,116,80,B3,.409029,0.409029,0.000000
SILVA2018,4.17,116,80,B4,.788854,0.788854,0.000000
