Isothermal temperature [K]: 1164						1098						994						994						994						994						994						942						917						891						867						841					
Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error
0	823	1.000e+00	0.000e+00	2.980e-03	5.000e-05	0	823	1.000e+00	0.000e+00	2.980e-03	5.000e-05	0	823	1.000e+00	2.258e-02	2.980e-03	5.000e-05	0	823	1.000e+00	2.172e-02	2.980e-03	5.000e-05	0	823	1.000e+00	2.411e-02	2.980e-03	5.000e-05	0	823	1.000e+00	0.000e+00	2.980e-03	5.000e-05	0	823	1.000e+00	0.000e+00	2.980e-03	5.000e-05	0	823	1.000e+00	2.593e-02	2.980e-03	5.000e-05	0	823	1.000e+00	2.809e-02	2.980e-03	5.000e-05	0	823	1.000e+00	0.000e+00	2.980e-03	5.000e-05	0	823	1.000e+00	0.000e+00	2.980e-03	5.000e-05	0	823	1.000e+00	0.000e+00	2.980e-03	5.000e-05
29	828	9.989e-01	3.831e-05	2.980e-03	5.000e-05	36	829	9.879e-01	5.941e-05	2.980e-03	5.000e-05	15	825	9.964e-01	2.273e-02	2.928e-03	4.913e-05	3	823	9.989e-01	2.169e-02	2.980e-03	5.000e-05	9	825	1.000e+00	2.411e-02	2.980e-03	5.000e-05	18	826	9.886e-01	2.974e-05	2.980e-03	5.000e-05	28	828	1.001e+00	4.394e-05	2.980e-03	5.000e-05	5	823	1.001e+00	2.595e-02	2.980e-03	5.000e-05	10	824	9.993e-01	2.807e-02	2.980e-03	5.000e-05	28	828	9.890e-01	1.312e-05	2.980e-03	5.000e-05	6	824	9.889e-01	1.215e-05	2.980e-03	5.000e-05	45	828	1.010e+00	1.993e-05	2.980e-03	5.000e-05
50	831	9.882e-01	4.148e-05	2.980e-03	5.000e-05	96	840	9.904e-01	3.557e-05	2.980e-03	5.000e-05	29	828	1.000e+00	2.258e-02	2.980e-03	5.000e-05	29	828	9.987e-01	2.169e-02	2.980e-03	5.000e-05	27	828	9.986e-01	2.407e-02	2.980e-03	5.000e-05	28	828	9.882e-01	4.292e-05	2.980e-03	5.000e-05	56	833	1.001e+00	5.127e-05	2.980e-03	5.000e-05	29	828	1.000e+00	2.593e-02	2.980e-03	5.000e-05	28	828	9.992e-01	2.807e-02	2.980e-03	5.000e-05	57	833	9.902e-01	2.829e-05	2.980e-03	5.000e-05	28	828	9.777e-01	1.792e-05	2.980e-03	5.000e-05	116	832	1.020e+00	3.884e-05	3.006e-03	5.043e-05
58	833	1.000e+00	1.750e-05	2.980e-03	5.000e-05	156	850	1.012e+00	3.900e-05	2.980e-03	5.000e-05	58	833	1.012e+00	2.264e-02	2.980e-03	5.000e-05	58	833	1.002e+00	2.177e-02	2.980e-03	5.000e-05	55	833	9.895e-01	2.409e-02	2.980e-03	5.000e-05	57	833	9.893e-01	1.534e-06	2.980e-03	5.000e-05	86	838	1.002e+00	7.309e-05	2.980e-03	5.000e-05	58	833	1.001e+00	2.595e-02	2.980e-03	5.000e-05	56	833	1.001e+00	2.813e-02	2.980e-03	5.000e-05	87	838	9.911e-01	6.297e-05	2.980e-03	5.000e-05	56	833	9.779e-01	1.085e-05	2.980e-03	5.000e-05	117	833	1.000e+00	1.861e-06	2.980e-03	5.000e-05
86	838	9.957e-01	1.583e-04	2.980e-03	5.000e-05	216	860	1.004e+00	1.257e-04	2.980e-03	5.000e-05	87	838	9.987e-01	2.254e-02	2.980e-03	5.000e-05	87	838	1.000e+00	2.173e-02	2.980e-03	5.000e-05	84	838	9.894e-01	2.409e-02	2.980e-03	5.000e-05	85	838	1.001e+00	2.752e-05	2.980e-03	5.000e-05	114	843	1.001e+00	4.407e-05	2.980e-03	5.000e-05	87	838	1.001e+00	2.597e-02	2.980e-03	5.000e-05	86	838	9.750e-01	2.801e-02	2.980e-03	5.000e-05	116	843	1.001e+00	2.757e-05	2.980e-03	5.000e-05	84	838	9.775e-01	2.692e-05	2.980e-03	5.000e-05	236	837	1.021e+00	1.276e-05	3.006e-03	5.043e-05
116	843	9.999e-01	4.560e-06	2.980e-03	5.000e-05	276	870	1.004e+00	1.084e-04	2.980e-03	5.000e-05	105	841	1.012e+00	2.263e-02	2.980e-03	5.000e-05	93	838	1.002e+00	2.177e-02	2.980e-03	5.000e-05	99	840	9.794e-01	2.410e-02	2.980e-03	5.000e-05	113	843	1.001e+00	3.507e-05	2.980e-03	5.000e-05	142	848	1.002e+00	8.080e-05	2.980e-03	5.000e-05	95	839	1.002e+00	2.598e-02	2.980e-03	5.000e-05	100	840	1.014e+00	2.819e-02	2.980e-03	5.000e-05	118	843	9.995e-01	1.694e-05	2.980e-03	5.000e-05	112	843	9.542e-01	5.266e-05	2.980e-03	5.000e-05	280	838	1.012e+00	3.939e-05	2.980e-03	5.000e-05
140	847	9.988e-01	4.275e-05	2.980e-03	5.000e-05	288	873	9.911e-01	5.752e-05	2.980e-03	5.000e-05	117	843	1.010e+00	2.259e-02	2.980e-03	5.000e-05	116	843	1.001e+00	2.174e-02	2.980e-03	5.000e-05	112	843	1.002e+00	2.415e-02	2.980e-03	5.000e-05	138	847	9.905e-01	4.032e-05	2.980e-03	5.000e-05	148	849	1.003e+00	9.553e-05	2.980e-03	5.000e-05	115	843	1.002e+00	2.599e-02	2.980e-03	5.000e-05	114	843	1.013e+00	2.816e-02	2.980e-03	5.000e-05	145	848	9.910e-01	5.925e-05	2.980e-03	5.000e-05	126	845	9.775e-01	2.531e-05	2.980e-03	5.000e-05	356	838	1.011e+00	5.164e-06	2.980e-03	5.000e-05
145	848	9.996e-01	1.474e-05	2.980e-03	5.000e-05	336	881	1.001e+00	3.589e-05	2.980e-03	5.000e-05	144	848	1.013e+00	2.266e-02	2.980e-03	5.000e-05	146	848	1.002e+00	2.178e-02	2.980e-03	5.000e-05	141	848	9.788e-01	2.408e-02	2.980e-03	5.000e-05	141	848	1.001e+00	4.830e-05	2.980e-03	5.000e-05	170	853	1.003e+00	1.175e-04	2.980e-03	5.000e-05	144	848	1.003e+00	2.600e-02	2.980e-03	5.000e-05	142	848	1.040e+00	2.810e-02	3.058e-03	5.130e-05	173	853	9.910e-01	5.925e-05	2.980e-03	5.000e-05	147	848	9.674e-01	1.289e-05	2.980e-03	5.000e-05	476	839	1.020e+00	2.144e-05	3.006e-03	5.043e-05
174	853	9.906e-01	4.340e-05	2.980e-03	5.000e-05	396	891	1.014e+00	9.134e-05	2.980e-03	5.000e-05	173	853	1.011e+00	2.261e-02	2.980e-03	5.000e-05	175	853	1.002e+00	2.177e-02	2.980e-03	5.000e-05	169	853	9.896e-01	2.410e-02	2.980e-03	5.000e-05	169	853	9.907e-01	4.749e-05	2.980e-03	5.000e-05	199	858	1.004e+00	1.395e-04	2.980e-03	5.000e-05	172	853	1.002e+00	2.599e-02	2.980e-03	5.000e-05	171	853	1.015e+00	2.824e-02	2.980e-03	5.000e-05	203	858	1.001e+00	2.683e-05	2.980e-03	5.000e-05	188	853	9.783e-01	3.601e-06	2.980e-03	5.000e-05	596	840	1.021e+00	2.696e-07	2.980e-03	5.000e-05
202	858	1.002e+00	7.704e-05	2.980e-03	5.000e-05	456	901	9.953e-01	1.820e-04	2.980e-03	5.000e-05	195	856	1.012e+00	2.263e-02	2.980e-03	5.000e-05	183	854	1.002e+00	2.176e-02	2.980e-03	5.000e-05	189	856	9.780e-01	2.406e-02	2.980e-03	5.000e-05	197	858	1.001e+00	3.396e-05	2.980e-03	5.000e-05	227	863	1.004e+00	1.262e-04	2.980e-03	5.000e-05	185	855	1.004e+00	2.605e-02	2.980e-03	5.000e-05	190	856	9.896e-01	2.811e-02	2.980e-03	5.000e-05	230	863	1.000e+00	1.385e-05	2.980e-03	5.000e-05	245	858	9.896e-01	1.452e-05	2.980e-03	5.000e-05	716	840	1.029e+00	8.698e-05	3.006e-03	5.043e-05
