source_id,material_id,temperature_C,relative_humidity_percent,time_min,moisture_ratio,readout_bound_MR,experimental_uncertainty_MR,source_kind,upstream_observation_kind,locator,image,pixel_x,pixel_y,method,calibration_role,independent_material
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,30,0,1.0,0.0,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,96,37.0,initial_normalization_defined_by_source_eq2,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,30,10,0.882716,0.023148,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,113,75,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,30,20,0.762346,0.023148,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,130,114,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,30,30,0.648148,0.021605,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,147,151,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,30,40,0.535494,0.020062,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,164,187.5,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,30,50,0.438272,0.015432,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,180,219.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,30,60,0.345679,0.015432,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,197,249,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,30,70,0.262346,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,214,276,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,30,80,0.191358,0.012346,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,231,299.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,30,90,0.12037,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,248,322.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,30,100,0.083333,0.012346,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,265,334,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,30,110,0.049383,0.012346,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,282,345,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,30,120,0.04321,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,299,347,color_symbol_pixel_readout,unassigned,False
