scenario_id,tau,cell_index,xi_left,xi_right,u,v,f
R01,0,0,0,0.066666666666666666,1,0,1
R01,0,1,0.066666666666666666,0.13333333333333333,1,0,1
R01,0,2,0.13333333333333333,0.20000000000000001,1,0,1
R01,0,3,0.20000000000000001,0.26666666666666666,1,0,1
R01,0,4,0.26666666666666666,0.33333333333333331,1,0,1
R01,0,5,0.33333333333333331,0.40000000000000002,1,0,1
R01,0,6,0.40000000000000002,0.46666666666666667,1,0,1
R01,0,7,0.46666666666666667,0.53333333333333333,1,0,1
R01,0,8,0.53333333333333333,0.59999999999999998,1,0,1
R01,0,9,0.59999999999999998,0.66666666666666663,1,0,1
R01,0,10,0.66666666666666663,0.73333333333333328,1,0,1
R01,0,11,0.73333333333333328,0.80000000000000004,1,0,1
R01,0,12,0.80000000000000004,0.8666666666666667,1,0,1
R01,0,13,0.8666666666666667,0.93333333333333335,1,0,1
R01,0,14,0.93333333333333335,1,1,0,1
R01,0.10000000000000001,0,0,0.066666666666666666,0.82645642601013125,0.17354357398986853,0.9131031493911681
R01,0.10000000000000001,1,0.066666666666666666,0.13333333333333333,0.82651073660755625,0.17348926339244344,0.91310213431758191
R01,0.10000000000000001,2,0.13333333333333333,0.20000000000000001,0.82662787307065377,0.17337212692934595,0.91309987553081062
R01,0.10000000000000001,3,0.20000000000000001,0.26666666666666666,0.8268255661246382,0.17317443387536147,0.9130958793436621
R01,0.10000000000000001,4,0.26666666666666666,0.33333333333333331,0.82713214954446013,0.17286785045553965,0.91308931107217428
R01,0.10000000000000001,5,0.33333333333333331,0.40000000000000002,0.82758860639558707,0.1724113936044126,0.91307887330787407
R01,0.10000000000000001,6,0.40000000000000002,0.46666666666666667,0.82825122356900682,0.17174877643099284,0.91306262914218572
R01,0.10000000000000001,7,0.46666666666666667,0.53333333333333333,0.82919477597888425,0.17080522402111542,0.91303775818380783
R01,0.10000000000000001,8,0.53333333333333333,0.59999999999999998,0.83051612759249083,0.16948387240750892,0.91300023056515167
R01,0.10000000000000001,9,0.59999999999999998,0.66666666666666663,0.83233809903896994,0.1676619009610299,0.91294438187293392
R01,0.10000000000000001,10,0.66666666666666663,0.73333333333333328,0.83481341528868946,0.16518658471131037,0.91286237023013328
R01,0.10000000000000001,11,0.73333333333333328,0.80000000000000004,0.83812851729220172,0.16187148270779822,0.91274349579488023
R01,0.10000000000000001,12,0.80000000000000004,0.8666666666666667,0.84250700414623059,0.15749299585376925,0.91257336293301661
R01,0.10000000000000001,13,0.8666666666666667,0.93333333333333335,0.84821247204359151,0.15178752795640843,0.91233286648161971
R01,0.10000000000000001,14,0.93333333333333335,1,0.85555053556769312,0.14444946443230666,0.91199698607485957
R01,0.20000000000000001,0,0,0.066666666666666666,0.69709919077415949,0.3029008092258404,0.84640402881847732
R01,0.20000000000000001,1,0.066666666666666666,0.13333333333333333,0.69742581846457119,0.30257418153542881,0.84638788662086739
R01,0.20000000000000001,2,0.13333333333333333,0.20000000000000001,0.69809548964380586,0.30190451035619426,0.84635425307489465
R01,0.20000000000000001,3,0.20000000000000001,0.26666666666666666,0.69914127630693002,0.30085872369306998,0.84630035839226248
R01,0.20000000000000001,4,0.26666666666666666,0.33333333333333331,0.70061337556515579,0.29938662443484398,0.84622186785348918
R01,0.20000000000000001,5,0.33333333333333331,0.40000000000000002,0.70257978379038721,0.29742021620961279,0.84611266212885239
R01,0.20000000000000001,6,0.40000000000000002,0.46666666666666667,0.70512714216646266,0.29487285783353734,0.84596453850265885
R01,0.20000000000000001,7,0.46666666666666667,0.53333333333333333,0.70836171060447173,0.29163828939552816,0.84576682835289541
