quantity,value_steps_1,value_steps_2,value_steps_4,signed_delta_1_2,signed_delta_2_4,descriptive_order,order_unavailable_reason,full_equilibrium_error_bound
cumulative_outward_water_mol,5.854529373478879e-05,5.84232075286153e-05,5.8362603651150694e-05,1.2208620617348612e-07,6.06038774646038e-08,1.0104182015488092,,unknown
cell_0_T_k,330.00338747114915,330.0033813853466,330.0033783626924,6.085802567667997e-06,3.022654198048258e-06,1.0096315923037942,,unknown
cell_0_Nc_mol,2.282914237742246e-06,2.282588368847259e-06,2.282426080222499e-06,3.258688949873437e-10,1.6228862475965424e-10,1.005729768641018,,unknown
cell_0_Nv_mol,6.92437788564421e-10,6.923387321043397e-10,6.922894005033097e-10,9.905646008137494e-14,4.933160102992172e-14,,necessary_conditional_resolution_insufficient,unknown
cell_0_P_pa,93289.80778080726,93289.8059775968,93289.80508187947,0.0018032104562735185,0.0008957173267845064,,necessary_conditional_resolution_insufficient,unknown
cell_0_U_j,1759.4377461969673,1759.4377420374437,1759.4377400986837,4.159523541602539e-06,1.938760078701307e-06,1.1012840011509724,,unknown
cell_1_T_k,332.8223222770653,332.82278313784525,332.8230119589388,-0.00046086077992413266,-0.0002288210935716961,1.0101109457803048,,unknown
cell_1_Nc_mol,0.05992249388561955,0.05992261583134907,0.05992267636597061,-1.219457295212334e-07,-6.053462153765565e-08,1.0104068331142528,,unknown
cell_1_Nv_mol,1.867721397012798e-05,1.867768041473168e-05,1.8677912008614988e-05,-4.664446036990906e-10,-2.315938833089904e-10,1.0101086022366843,,unknown
cell_1_P_pa,105277.19629429595,105277.51660210123,105277.67563516373,-0.32030780527566094,-0.15903306250402238,1.0101322254718,,unknown
cell_1_U_j,-15565.649961155297,-15565.675819007902,-15565.688654035916,0.025857852604531217,0.012835028013796546,1.0105160250835752,,unknown
