species,lambda_0_mol_per_original_sample_kg,lambda_0_kg_per_original_sample_kg,lambda_0_gas_mole_fraction,lambda_0.25_mol_per_original_sample_kg,lambda_0.25_kg_per_original_sample_kg,lambda_0.25_gas_mole_fraction,lambda_1_mol_per_original_sample_kg,lambda_1_kg_per_original_sample_kg,lambda_1_gas_mole_fraction
H2,9.625370500694135,0.019404746929399377,0.3489692947546466,11.356572087150305,0.022894849327695015,0.15594333735952465,3.5607857218361948e-06,7.178544015221769e-09,1.816078595828467e-08
H2O,7.284756817125273,0.13123489406051178,0.26410998399988683,9.817173070949497,0.1768563728731552,0.1348050028099695,26.289678978893633,0.4736085668047688,0.13408311258940356
CO,0.892083369791188,0.024987255187851175,0.03234262041091607,2.690278394345257,0.07535469782561065,0.03694169226602385,9.620453241896322e-07,2.6946889530551597e-08,4.906641561617739e-09
CO2,2.8489930689115677,0.12538133596972917,0.103290683921959,9.813518721148766,0.43188314539903605,0.13475482292299024,29.97252422320152,1.3190608185388757,0.15286642880784546
CH4,4.515253425263189,0.07243821070149734,0.16370121060160403,2.3806280325642035,0.03819241552642751,0.0326897128429937,1.3518399209067849e-27,2.1687567851107548e-29,6.894679256575041e-30
O2,4.242000284195326e-26,1.3573552509368205e-27,1.5379437575082429e-27,1.4611811341887674e-25,4.675487393177218e-27,2.0064281792389775e-27,2.8696921704703632e-11,9.182441007071068e-13,1.46360576977384e-13
N2,2.068065631112522,0.05793479058998619,0.07497803900053666,36.414230528635315,1.0201082540291897,0.500023826946833,139.46470867117887,3.9069643487144043,0.7113005164505436
NH3,0.004655069095504262,7.928048176553309e-05,0.0001687702493296361,0.00948143455350919,0.000161478311880815,0.000130194792573289,1.210006677099102e-12,2.0607623717674806e-14,6.171298692907686e-15
HCN,4.1816185364397324e-07,1.130124225658202e-08,1.5160522615613566e-08,1.9059553494867172e-06,5.1510349275228015e-08,2.6171721165182977e-08,3.2480740376627794e-23,8.778244894187427e-25,1.6565887976049566e-25
NO,1.4588217796852219e-18,4.3773406321234766e-20,5.2889809030494743e-20,1.1361150976234122e-17,3.4090269619288105e-19,1.5600621260388976e-19,3.1159074651453225e-10,9.349591939915055e-12,1.5891809550153185e-12
NO2,3.863577005590655e-32,1.777438601421981e-33,1.4007458131341642e-33,3.4367761703192306e-31,1.581088877155362e-32,4.719226379619191e-33,8.05033059254185e-17,3.703554589098878e-18,4.1058446704058395e-19
N2O,4.841129280087846e-23,2.1307262300450635e-24,1.755158900705686e-24,9.73632547961405e-22,4.285248933342531e-23,1.336948400677637e-23,3.184846582358228e-14,1.401746526293327e-15,1.6243414125564443e-16
H2S,0.342065558612579,0.011656225975282243,0.012401639681327334,0.34045821164639944,0.011601454020062707,0.004675018953621355,1.3567194265186763e-12,4.6231571178050416e-14,6.919565802388899e-15
SO2,4.730494287780625e-11,3.030260030866513e-12,1.7150480132984402e-12,1.3745626708281288e-10,8.805173556790827e-12,1.887487603246903e-12,0.34310215251507187,0.021978437685810474,0.0017498960174553307
SO3,6.391705251279847e-23,5.1170074730171075e-24,2.317322614914248e-24,2.1213696203340286e-22,1.6983048769508133e-23,2.9129692994447137e-24,4.522467963494552e-06,3.620552177534834e-07,2.3065575719583383e-08
COS,0.0010409168684041344,6.252787628503636e-05,3.773860189994873e-05,0.0026480884460307105,0.00015907067295306478,3.6362358881556493e-05,1.2035342222738847e-14,7.229630073199226e-16,6.138287757713074e-17
CS2,9.103702457818076e-08,6.93073971816148e-09,3.3005613925529555e-09,1.7104783183242738e-07,1.302204248523453e-08,2.3487518539366476e-09,1.1568336793382055e-30,8.807090484169693e-32,5.900104774898482e-33
S2,8.691033589711742e-09,5.572690737723168e-10,3.150947656790908e-10,1.6329427052246548e-08,1.0470428625900488e-09,2.242283439188043e-10,7.101612812478e-18,4.553554135360894e-19,3.6219778532339877e-20
C(gr),21.715153895213632,0.2608207134354109,,15.085449871739417,0.18119133840946214,,0.0,0.0,
