         154430 function calls (153900 primitive calls) in 2.717 seconds

   Ordered by: cumulative time
   List reduced from 327 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.720    2.720 deforming_solid_heat.py:133(evaluate)
        2    0.000    0.000    2.718    1.359 deforming_solid_heat.py:141(<genexpr>)
        1    0.000    0.000    2.718    2.718 deforming_solid_storage.py:207(temperature_from_total_energy)
        1    0.000    0.000    2.716    2.716 solid_fluid_storage.py:172(temperature_from_energy)
        5    0.000    0.000    2.716    0.543 solid_fluid_storage.py:127(evaluate_at_temperature)
        5    0.000    0.000    2.713    0.543 rigid_storage.py:166(evaluate_at_temperature)
      205    0.005    0.000    2.680    0.013 _heos_kernel.py:250(state_tp)
      820    0.000    0.000    2.648    0.003 {built-in method builtins.next}
      820    0.937    0.001    2.648    0.003 _heos_kernel.py:125(_transaction)
        5    0.000    0.000    2.645    0.529 rigid_water_gas.py:118(evaluate_at_temperature)
      200    0.000    0.000    2.645    0.013 rigid_water_gas.py:133(trial)
      200    0.000    0.000    2.643    0.013 rigid_water_gas.py:111(_liquid_volume)
      200    0.000    0.000    2.642    0.013 water_heos.py:73(state_tp)
      205    0.004    0.000    1.346    0.007 _heos_kernel.py:188(saturation_pair)
      410    0.000    0.000    1.326    0.003 contextlib.py:141(__exit__)
      410    0.000    0.000    1.323    0.003 contextlib.py:132(__enter__)
      820    0.001    0.000    1.096    0.001 _heos_kernel.py:17(digest)
     1850    0.002    0.000    1.082    0.001 __init__.py:183(dumps)
     1850    0.002    0.000    1.080    0.001 encoder.py:183(encode)
     1850    1.077    0.001    1.077    0.001 encoder.py:205(iterencode)
     2255    0.002    0.000    0.616    0.000 __init__.py:299(loads)
     2255    0.002    0.000    0.614    0.000 decoder.py:333(decode)
     2255    0.610    0.000    0.610    0.000 decoder.py:344(raw_decode)
        5    0.000    0.000    0.066    0.013 water_heos.py:77(state_tp_response)
     1030    0.027    0.000    0.027    0.000 {built-in method _hashlib.openssl_sha256}
      205    0.003    0.000    0.026    0.000 water_heos.py:60(_guard)
      615    0.008    0.000    0.018    0.000 _heos_kernel.py:148(_snapshot)
      205    0.000    0.000    0.015    0.000 water_implementation.py:33(sha256)
      205    0.001    0.000    0.014    0.000 water_implementation.py:27(canonical_json)
     2870    0.002    0.000    0.006    0.000 {built-in method builtins.all}
14062/14048    0.002    0.000    0.003    0.000 {built-in method builtins.isinstance}
      410    0.002    0.000    0.003    0.000 _heos_kernel.py:200(evaluate)
        1    0.000    0.000    0.002    0.002 deforming_solid_storage.py:164(_prepare)
      615    0.002    0.000    0.002    0.000 {built-in method builtins.repr}
     1030    0.002    0.000    0.002    0.000 {method 'encode' of 'str' objects}
      660    0.000    0.000    0.002    0.000 rigid_water_gas.py:38(_finite)
     2830    0.000    0.000    0.002    0.000 <frozen abc>:117(__instancecheck__)
      928    0.000    0.000    0.002    0.000 fractions.py:613(forward)
      693    0.000    0.000    0.002    0.000 rigid_water_gas.py:31(_number)
        1    0.000    0.000    0.001    0.001 skeleton_energy.py:183(evaluate)
     1069    0.001    0.000    0.001    0.000 fractions.py:186(__new__)
     4510    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
    21447    0.001    0.000    0.001    0.000 {built-in method math.isfinite}
     2830    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      410    0.000    0.000    0.001    0.000 warnings.py:168(simplefilter)
