dt_s,time_s,solid_mol,product_gas_mol,carrier_mol,temperature_k,pressure_pa,internal_energy_j,temperature_error_bound_k,error_solid_mol,error_temperature_k,error_pressure_pa,error_energy_j,error_carbon_mol,error_nitrogen_mol,error_mass_kg,error_prefix_energy_j
0.0625,0.0,0.01,0.0,0.01,300.0,249683.56210670387,-23.473387854459705,2.871455730655821e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0625,0.0625,0.009394228458404541,0.0006057715415954591,0.01,303.0564081021198,267490.3397172455,-23.473387854459705,2.7711898435860984e-09,9.783026978273102e-08,0.0005057024789039133,2.9111363560077734,0.0,0.0,0.0,0.0,0.0
0.0625,0.125,0.008825152832869776,0.0011748471671302243,0.01,306.06739019202024,284627.11997691396,-23.473387854459705,2.6720401863661257e-09,1.8380702382185532e-07,0.000995455093345754,5.602128294005524,0.0,0.0,0.0,0.0,0.0
0.0625,0.1875,0.00829055018923147,0.00170944981076853,0.01,309.0282113671545,301112.65355633106,-23.473387854459705,2.5740755481587556e-09,2.590074274656101e-07,0.001466975536800419,8.082093632838223,0.0,0.0,0.0,0.0,0.0
0.0625,0.25,0.007788332252350942,0.0022116677476490573,0.01,311.9344853620195,316964.7229605845,-23.473387854459705,2.477635784956076e-09,3.244216368923983e-07,0.0019182212288910705,10.359567567764316,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.0625,0.3125,0.007316537248854515,0.0026834627511454837,0.01,314.7821946785741,332200.32371555077,-23.473387854459705,2.3826276819461836e-09,3.8095938809708935e-07,0.0023474040200426316,12.44264437846141,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.0625,0.375,0.006873322244016595,0.0031266777559834035,0.01,317.56770573459846,346835.823358562,-23.473387854459705,2.28938662561947e-09,4.294561068733313e-07,0.002752999911479037,14.339097178017255,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.0625,0.4375,0.006456955942852566,0.0035430440571474326,0.01,320.2877790616632,360887.098808161,-23.473387854459705,2.1980342143410174e-09,4.7067857364586907e-07,0.003133753886118029,16.05647652654443,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.0625,0.5,0.00606581192730099,0.003934188072699008,0.01,322.9395746832604,374369.65294579015,-23.473387854459705,2.1085629161857447e-09,5.053301746563155e-07,0.0034886800732465417,17.602189065422863,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.0625,0.5625,0.005698362303078066,0.004301637696921932,0.01,325.5206528918926,387298.71147140994,-23.473387854459705,2.0211959857721295e-09,5.340557688365485e-07,0.003817057576213756,18.983557601459324,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.0625,0.625,0.005353171731387561,0.004646828268612437,0.01,328.02897071958705,399689.3012893914,-23.473387854459705,1.9360417667546173e-09,5.574461976586703e-07,0.004118422379576714,20.207864293595776,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.0625,0.6875,0.005028891822172774,0.004971108177827224,0.01,330.46287445814096,411556.311836733,-23.473387854459705,1.8530627758472257e-09,5.760424633639502e-07,0.004392555819663357,21.282378757954575,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.0625,0.75,0.004724255867009334,0.005275744132990664,0.01,332.82108863280786,422914.5408807964,-23.473387854459705,1.7724382422604984e-09,5.903395991872784e-07,0.004639470144468305,22.21437300153775,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.0625,0.8125,0.004438073891064371,0.005561926108935628,0.01,335.1027018661052,433778.7263882189,-23.473387854459705,1.6941409162910752e-09,6.007902535716883e-07,0.0048593917119319485,23.01112513692351,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.0625,0.875,0.004169228004793908,0.0058307719952060905,0.01,337.3071500875028,444163.56610190246,-23.473387854459705,1.6182867226118071e-09,6.078080088236029e-07,0.005052742380485142,23.679913815984037,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.0625,0.9375,0.003916668037221212,0.006083331962778786,0.01,339.4341975509292,454083.7264617879,-23.473387854459705,1.5448178493232937e-09,6.11770453222242e-07,0.005220119628006614,24.228005249868147,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.0625,1.0,0.003679407433738697,0.0063205925662613025,0.01,341.4839161166217,463553.84247127105,-23.473387854459705,1.4738757598754181e-09,6.130220242734664e-07,0.005362275911011238,24.662634583655745,0.0,1.734723475976807e-18,0.0,0.0,0.0
