         29521378 function calls (26349847 primitive calls) in 7.718 seconds

   Ordered by: cumulative time
   List reduced from 1156 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    7.731    7.731 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/run_service.py:62(read_run_with_source_record)
        1    0.001    0.001    7.482    7.482 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_run_service.py:371(verify_source_artifacts)
        1    0.000    0.000    7.481    7.481 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_study_record.py:318(decode_source_study)
        1    0.002    0.002    7.290    7.290 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_study_audit.py:718(audit_study)
       63    0.007    0.000    6.373    0.101 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_study_audit.py:76(_sample_record)
       63    0.005    0.000    6.365    0.101 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_record.py:190(create_source_sample_record)
       63    0.003    0.000    5.588    0.089 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_record.py:221(decode_source_sample)
 92295/63    0.230    0.000    5.043    0.080 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_record.py:112(_restore)
559062/4977    0.549    0.000    3.030    0.001 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_record.py:85(_project)
26334/3465    0.008    0.000    2.851    0.001 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_record.py:135(<genexpr>)
    38726    0.362    0.000    2.377    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_schema.py:171(validate_fields)
233919/88515    0.039    0.000    1.763    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_record.py:95(<genexpr>)
        2    0.001    0.000    1.701    0.851 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_study_audit.py:251(_candidate)
1193251/16936    1.027    0.000    1.690    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/exact_record.py:96(pack)
834692/454550    0.570    0.000    1.648    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_schema.py:140(matches)
        3    0.001    0.000    1.626    0.542 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_study_audit.py:113(_trial)
321538/271418    0.191    0.000    1.481    0.000 {built-in method builtins.all}
  8555990    0.767    0.000    1.162    0.000 {built-in method builtins.isinstance}
