         3695265 function calls (3538218 primitive calls) in 6.355 seconds

   Ordered by: cumulative time
   List reduced from 496 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    6.382    6.382 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/exact_source_column.py:95(evaluate)
        1    0.000    0.000    6.216    6.216 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_wet_column.py:184(evaluate)
        3    0.001    0.000    6.144    2.048 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_wet_storage.py:229(invert)
       75    0.002    0.000    6.141    0.082 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_wet_storage.py:203(evaluate)
       75    0.001    0.000    5.280    0.070 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/mass_wet_storage.py:44(evaluate_wet_fluid)
       75    0.003    0.000    5.253    0.070 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/rigid_storage.py:179(evaluate_at_temperature)
       75    0.000    0.000    5.067    0.068 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/rigid_water_gas.py:147(evaluate_at_temperature)
       75    0.002    0.000    5.066    0.068 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/rigid_water_gas.py:159(_evaluate_at_temperature)
     2000    0.003    0.000    5.057    0.003 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/rigid_water_gas.py:176(trial)
     2005    0.004    0.000    5.050    0.003 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/water_heos.py:85(state_tp)
     2000    0.002    0.000    5.045    0.003 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/rigid_water_gas.py:140(_liquid_volume)
     2045    0.034    0.000    4.894    0.002 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/_heos_kernel.py:284(state_tp)
     4109    0.002    0.000    4.615    0.001 {built-in method builtins.next}
     4090    4.374    0.001    4.613    0.001 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/_heos_kernel.py:125(_transaction)
     2045    0.001    0.000    2.310    0.001 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/contextlib.py:141(__exit__)
     2045    0.001    0.000    2.306    0.001 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/contextlib.py:132(__enter__)
     1086    0.013    0.000    0.732    0.001 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/arlabosse_caloric.py:72(_source)
     1011    0.005    0.000    0.706    0.001 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/arlabosse_caloric.py:88(cp)
