figure,group_id,n_water,n_shrinkage,water_specimens,shrinkage_specimens,x_value,y_value,y_unit,evidence_status,expression
observation_comparison.svg,Y|P1-ED|1020,3,,"[""Y|P1-ED|1020|A"", ""Y|P1-ED|1020|B"", ""Y|P1-ED|1020|C""]",[],1020,21.423713946964618,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
observation_comparison.svg,Y|P1-ED|1030,3,,"[""Y|P1-ED|1030|A"", ""Y|P1-ED|1030|B"", ""Y|P1-ED|1030|C""]",[],1030,20.087628040311493,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
observation_comparison.svg,Y|P1-ED|1050,3,,"[""Y|P1-ED|1050|A"", ""Y|P1-ED|1050|B"", ""Y|P1-ED|1050|C""]",[],1050,13.952892215127042,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
observation_comparison.svg,Y|P1-Raw|1020,3,,"[""Y|P1-Raw|1020|A"", ""Y|P1-Raw|1020|B"", ""Y|P1-Raw|1020|C""]",[],1020,21.254397085854094,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
observation_comparison.svg,Y|P1-Raw|1030,3,,"[""Y|P1-Raw|1030|A"", ""Y|P1-Raw|1030|B"", ""Y|P1-Raw|1030|C""]",[],1030,21.103034112309636,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
observation_comparison.svg,Y|P1-Raw|1050,3,,"[""Y|P1-Raw|1050|A"", ""Y|P1-Raw|1050|B"", ""Y|P1-Raw|1050|C""]",[],1050,16.237049414080275,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
observation_comparison.svg,Y|P2-ED|1020,3,,"[""Y|P2-ED|1020|A"", ""Y|P2-ED|1020|B"", ""Y|P2-ED|1020|C""]",[],1020,19.671730502896935,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
observation_comparison.svg,Y|P2-ED|1030,3,,"[""Y|P2-ED|1030|A"", ""Y|P2-ED|1030|B"", ""Y|P2-ED|1030|C""]",[],1030,17.48992389118872,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
observation_comparison.svg,Y|P2-ED|1050,3,,"[""Y|P2-ED|1050|A"", ""Y|P2-ED|1050|B"", ""Y|P2-ED|1050|C""]",[],1050,11.178914699226741,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
observation_comparison.svg,Y|P2-Raw|1020,3,,"[""Y|P2-Raw|1020|A"", ""Y|P2-Raw|1020|B"", ""Y|P2-Raw|1020|C""]",[],1020,20.619706449043473,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
