source_id,file,sheet,cell,formula,shared_anchor,cached_value,cache_kind,external_reference,verification
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,B26,B1,,#0250,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H26,C1,,#0252,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,C27,D1,,#0262,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,D27,E1,,Pilot-8,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E27,F1,,#0263,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F27,G1,,Pilot-10,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G27,H1,,#0179,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I27,C27,,#0262,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J27,D27,,Pilot-8,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K27,E27,,#0263,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L27,F27,,Pilot-10,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M27,G27,,#0179,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,A29,A2,A29,Na2O,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,B29,B2,,0.559,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,C29,0.7*$B2+0.3*D2,C29,0.613,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,D29,0.7*$B2+0.3*E2,C29,0.5026,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E29,0.7*$B2+0.3*F2,C29,0.679,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F29,0.7*$B2+0.3*G2,C29,0.6268,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G29,0.7*$B2+0.3*H2,C29,0.6298,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H29,C2,,0.713,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I29,0.7*$C2+0.3*D2,I29,0.7207999999999999,n,False,recomputed_match
