matrix_id,additive_id,additive_fraction_dry,firing_temperature_C,group_id,evidence_status,n_shrinkage,n_water,n_volume,n_independent_batches,diameter_shrinkage_mean,diameter_shrinkage_sd,volume_shrinkage_mean,volume_shrinkage_sd,water_absorption_mean,water_absorption_sd,open_porosity_mean,open_porosity_sd,dry_density_mean,dry_density_sd,shrinkage_specimens,water_specimens,volume_specimens
R,SSA-P1-ED,0.3,1020,R|P1-ED|1020,model_derived,7,3,7,,3.5471114456073343,0.29893432173079687,8.682093274397152,0.6232735172482445,0.153462830280885,0.0016097903761701775,0.2916081109975068,0.0020024866321534406,1896.8149189961416,6.876091349169235,"[""R|P1-ED|1020|A"", ""R|P1-ED|1020|B"", ""R|P1-ED|1020|C"", ""R|P1-ED|1020|D"", ""R|P1-ED|1020|E"", ""R|P1-ED|1020|F"", ""R|P1-ED|1020|G""]","[""R|P1-ED|1020|A"", ""R|P1-ED|1020|B"", ""R|P1-ED|1020|C""]","[""R|P1-ED|1020|A"", ""R|P1-ED|1020|B"", ""R|P1-ED|1020|C"", ""R|P1-ED|1020|D"", ""R|P1-ED|1020|E"", ""R|P1-ED|1020|F"", ""R|P1-ED|1020|G""]"
R,SSA-P1-ED,0.3,1030,R|P1-ED|1030,model_derived,7,3,7,,4.513567691857199,1.0425608323895308,10.5318484453771,2.0703039435573443,0.13783991880692203,0.0051716342532452005,0.2685044106305486,0.00792072543893736,1944.8381899751744,16.718664909160495,"[""R|P1-ED|1030|A"", ""R|P1-ED|1030|B"", ""R|P1-ED|1030|C"", ""R|P1-ED|1030|D"", ""R|P1-ED|1030|E"", ""R|P1-ED|1030|F"", ""R|P1-ED|1030|G""]","[""R|P1-ED|1030|A"", ""R|P1-ED|1030|B"", ""R|P1-ED|1030|C""]","[""R|P1-ED|1030|A"", ""R|P1-ED|1030|B"", ""R|P1-ED|1030|C"", ""R|P1-ED|1030|D"", ""R|P1-ED|1030|E"", ""R|P1-ED|1030|F"", ""R|P1-ED|1030|G""]"
R,SSA-P1-ED,0.3,1050,R|P1-ED|1050,model_derived,7,3,7,,5.392296315402656,0.7476956292381218,13.402738034371389,1.337117567367772,0.11270920230874197,0.00017657202569379939,0.22845548855606065,0.0002027581200956141,2023.2993333002848,1.774478155940546,"[""R|P1-ED|1050|A"", ""R|P1-ED|1050|B"", ""R|P1-ED|1050|C"", ""R|P1-ED|1050|D"", ""R|P1-ED|1050|E"", ""R|P1-ED|1050|F"", ""R|P1-ED|1050|G""]","[""R|P1-ED|1050|A"", ""R|P1-ED|1050|B"", ""R|P1-ED|1050|C""]","[""R|P1-ED|1050|A"", ""R|P1-ED|1050|B"", ""R|P1-ED|1050|C"", ""R|P1-ED|1050|D"", ""R|P1-ED|1050|E"", ""R|P1-ED|1050|F"", ""R|P1-ED|1050|G""]"
R,SSA-P1-Raw,0.3,1020,R|P1-Raw|1020,model_derived,7,3,7,,2.984956107208967,0.20574864289967304,8.193526408957723,0.6971893737165625,0.14241280792778485,0.002887952916214115,0.27687659165855405,0.00434184719122479,1940.8039648793315,9.111145784386014,"[""R|P1-Raw|1020|A"", ""R|P1-Raw|1020|B"", ""R|P1-Raw|1020|C"", ""R|P1-Raw|1020|D"", ""R|P1-Raw|1020|E"", ""R|P1-Raw|1020|F"", ""R|P1-Raw|1020|G""]","[""R|P1-Raw|1020|A"", ""R|P1-Raw|1020|B"", ""R|P1-Raw|1020|C""]","[""R|P1-Raw|1020|A"", ""R|P1-Raw|1020|B"", ""R|P1-Raw|1020|C"", ""R|P1-Raw|1020|D"", ""R|P1-Raw|1020|E"", ""R|P1-Raw|1020|F"", ""R|P1-Raw|1020|G""]"
R,SSA-P1-Raw,0.3,1030,R|P1-Raw|1030,model_derived,7,3,7,,3.724928332266684,0.5241698897956987,10.75646354075816,0.821372992509769,0.13303097778599454,0.003910327319566258,0.2626219177981103,0.0058194872872595485,1970.8741831631453,14.929943549117864,"[""R|P1-Raw|1030|A"", ""R|P1-Raw|1030|B"", ""R|P1-Raw|1030|C"", ""R|P1-Raw|1030|D"", ""R|P1-Raw|1030|E"", ""R|P1-Raw|1030|F"", ""R|P1-Raw|1030|G""]","[""R|P1-Raw|1030|A"", ""R|P1-Raw|1030|B"", ""R|P1-Raw|1030|C""]","[""R|P1-Raw|1030|A"", ""R|P1-Raw|1030|B"", ""R|P1-Raw|1030|C"", ""R|P1-Raw|1030|D"", ""R|P1-Raw|1030|E"", ""R|P1-Raw|1030|F"", ""R|P1-Raw|1030|G""]"
R,SSA-P1-Raw,0.3,1050,R|P1-Raw|1050,model_derived,7,3,7,,6.761805198409422,0.23107055785032427,17.903521911063397,0.5660751387137436,0.08402161556360989,0.0015169773502623604,0.18248483576578728,0.0028400468764847235,2168.0362840149032,5.636039110016557,"[""R|P1-Raw|1050|A"", ""R|P1-Raw|1050|B"", ""R|P1-Raw|1050|C"", ""R|P1-Raw|1050|D"", ""R|P1-Raw|1050|E"", ""R|P1-Raw|1050|F"", ""R|P1-Raw|1050|G""]","[""R|P1-Raw|1050|A"", ""R|P1-Raw|1050|B"", ""R|P1-Raw|1050|C""]","[""R|P1-Raw|1050|A"", ""R|P1-Raw|1050|B"", ""R|P1-Raw|1050|C"", ""R|P1-Raw|1050|D"", ""R|P1-Raw|1050|E"", ""R|P1-Raw|1050|F"", ""R|P1-Raw|1050|G""]"
R,SSA-P2-ED,0.3,1020,R|P2-ED|1020,model_derived,7,3,7,,4.75115721080023,0.23046112931968077,11.772083386689458,0.7667282441534269,0.12849265812050223,0.002731170675883282,0.25805314831580517,0.004695355943399929,2004.7853982265506,7.506487815675263,"[""R|P2-ED|1020|A"", ""R|P2-ED|1020|B"", ""R|P2-ED|1020|C"", ""R|P2-ED|1020|D"", ""R|P2-ED|1020|E"", ""R|P2-ED|1020|F"", ""R|P2-ED|1020|G""]","[""R|P2-ED|1020|A"", ""R|P2-ED|1020|B"", ""R|P2-ED|1020|C""]","[""R|P2-ED|1020|A"", ""R|P2-ED|1020|B"", ""R|P2-ED|1020|C"", ""R|P2-ED|1020|D"", ""R|P2-ED|1020|E"", ""R|P2-ED|1020|F"", ""R|P2-ED|1020|G""]"
R,SSA-P2-ED,0.3,1030,R|P2-ED|1030,model_derived,7,3,6,,6.2327207204679995,0.36868720994338317,15.435381100471675,0.43571978372247716,0.10659740726086861,0.0012999890038175826,0.22267556730091914,0.002039919164479376,2085.2315611985587,6.462442089156137,"[""R|P2-ED|1030|A"", ""R|P2-ED|1030|B"", ""R|P2-ED|1030|C"", ""R|P2-ED|1030|D"", ""R|P2-ED|1030|E"", ""R|P2-ED|1030|F"", ""R|P2-ED|1030|G""]","[""R|P2-ED|1030|A"", ""R|P2-ED|1030|B"", ""R|P2-ED|1030|C""]","[""R|P2-ED|1030|A"", ""R|P2-ED|1030|B"", ""R|P2-ED|1030|C"", ""R|P2-ED|1030|D"", ""R|P2-ED|1030|E"", ""R|P2-ED|1030|F""]"
R,SSA-P2-ED,0.3,1050,R|P2-ED|1050,model_derived,7,3,7,,8.399704223640715,0.2535024856599844,20.682812676579278,0.5883972924816269,0.07093634488787944,0.0008704562227726481,0.15930376858520917,0.001655959233876659,2241.7215818408276,4.845545127319184,"[""R|P2-ED|1050|A"", ""R|P2-ED|1050|B"", ""R|P2-ED|1050|C"", ""R|P2-ED|1050|D"", ""R|P2-ED|1050|E"", ""R|P2-ED|1050|F"", ""R|P2-ED|1050|G""]","[""R|P2-ED|1050|A"", ""R|P2-ED|1050|B"", ""R|P2-ED|1050|C""]","[""R|P2-ED|1050|A"", ""R|P2-ED|1050|B"", ""R|P2-ED|1050|C"", ""R|P2-ED|1050|D"", ""R|P2-ED|1050|E"", ""R|P2-ED|1050|F"", ""R|P2-ED|1050|G""]"
R,SSA-P2-Raw,0.3,1020,R|P2-Raw|1020,model_derived,7,3,7,,4.62893628404429,0.4557160530407987,12.783598458803205,0.4405780587640422,0.1298289614671843,0.0026272683751235463,0.26072616853390124,0.003711633091814339,2004.7776106291483,12.196321218224657,"[""R|P2-Raw|1020|A"", ""R|P2-Raw|1020|B"", ""R|P2-Raw|1020|C"", ""R|P2-Raw|1020|D"", ""R|P2-Raw|1020|E"", ""R|P2-Raw|1020|F"", ""R|P2-Raw|1020|G""]","[""R|P2-Raw|1020|A"", ""R|P2-Raw|1020|B"", ""R|P2-Raw|1020|C""]","[""R|P2-Raw|1020|A"", ""R|P2-Raw|1020|B"", ""R|P2-Raw|1020|C"", ""R|P2-Raw|1020|D"", ""R|P2-Raw|1020|E"", ""R|P2-Raw|1020|F"", ""R|P2-Raw|1020|G""]"
