source_id,file,sheet,row,nonempty_cells,selected_cells,excluded_cells,selected_addresses,excluded_addresses_and_reasons
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,1,8,0,8,[],"{""A1"": ""原表化学组成/LOI标题、间隔或说明"", ""B1"": ""原表化学组成/LOI标题、间隔或说明"", ""C1"": ""原表化学组成/LOI标题、间隔或说明"", ""D1"": ""原表化学组成/LOI标题、间隔或说明"", ""E1"": ""原表化学组成/LOI标题、间隔或说明"", ""F1"": ""原表化学组成/LOI标题、间隔或说明"", ""G1"": ""原表化学组成/LOI标题、间隔或说明"", ""H1"": ""原表化学组成/LOI标题、间隔或说明""}"
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,2,8,7,1,"[""B2"", ""C2"", ""D2"", ""E2"", ""F2"", ""G2"", ""H2""]","{""A2"": ""原表化学组成/LOI标题、间隔或说明""}"
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,3,8,7,1,"[""B3"", ""C3"", ""D3"", ""E3"", ""F3"", ""G3"", ""H3""]","{""A3"": ""原表化学组成/LOI标题、间隔或说明""}"
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,4,8,7,1,"[""B4"", ""C4"", ""D4"", ""E4"", ""F4"", ""G4"", ""H4""]","{""A4"": ""原表化学组成/LOI标题、间隔或说明""}"
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,5,8,7,1,"[""B5"", ""C5"", ""D5"", ""E5"", ""F5"", ""G5"", ""H5""]","{""A5"": ""原表化学组成/LOI标题、间隔或说明""}"
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,6,8,7,1,"[""B6"", ""C6"", ""D6"", ""E6"", ""F6"", ""G6"", ""H6""]","{""A6"": ""原表化学组成/LOI标题、间隔或说明""}"
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,7,8,7,1,"[""B7"", ""C7"", ""D7"", ""E7"", ""F7"", ""G7"", ""H7""]","{""A7"": ""原表化学组成/LOI标题、间隔或说明""}"
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,8,8,7,1,"[""B8"", ""C8"", ""D8"", ""E8"", ""F8"", ""G8"", ""H8""]","{""A8"": ""原表化学组成/LOI标题、间隔或说明""}"
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,9,8,7,1,"[""B9"", ""C9"", ""D9"", ""E9"", ""F9"", ""G9"", ""H9""]","{""A9"": ""原表化学组成/LOI标题、间隔或说明""}"
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,10,8,7,1,"[""B10"", ""C10"", ""D10"", ""E10"", ""F10"", ""G10"", ""H10""]","{""A10"": ""原表化学组成/LOI标题、间隔或说明""}"
