scenario_id,tau_start,tau_end,o2_net_out_increment,co2_net_out_increment
base,0.0,0.1,-0.007627112518546892,0.007627112518546904
base,0.1,0.2,-0.01870846620613027,0.01870846620613029
base,0.2,0.30000000000000004,-0.026116258361138938,0.026116258361138945
base,0.30000000000000004,0.4,-0.031333035543218625,0.03133303554321861
base,0.4,0.5,-0.0350795135390678,0.0350795135390678
base,0.5,0.6000000000000001,-0.037782888841194795,0.03778288884119477
base,0.6000000000000001,0.7000000000000001,-0.0397224700498896,0.0397224700498896
base,0.7000000000000001,0.8,-0.041091175757996645,0.041091175757996645
base,0.8,0.9,-0.04202669005635812,0.04202669005635812
base,0.9,1.0,-0.0426294307414975,0.0426294307414975
base,1.0,1.1,-0.04297380730439193,0.04297380730439193
base,1.1,1.2000000000000002,-0.04311565058342154,0.04311565058342154
base,1.2000000000000002,1.3,-0.043097287436783926,0.043097287436783926
base,1.3,1.4000000000000001,-0.0429510935251155,0.0429510935251155
base,1.4000000000000001,1.5,-0.042702028399286496,0.042702028399286496
base,1.5,1.6,-0.04236947250095502,0.04236947250095502
base,1.6,1.7000000000000002,-0.041968575560819676,0.041968575560819676
base,1.7000000000000002,1.8,-0.041511257286963255,0.041511257286963255
base,1.8,1.9000000000000001,-0.04100695710874824,0.04100695710874824
base,1.9000000000000001,2.0,-0.04046320061464703,0.04046320061464681
base,2.0,2.1,-0.03988603067944041,0.03988603067944041
base,2.1,2.2,-0.03928033778359252,0.03928033778359252
base,2.2,2.3000000000000003,-0.03865011461020573,0.03865011461020573
base,2.3000000000000003,2.4000000000000004,-0.03799865333909658,0.03799865333909658
base,2.4000000000000004,2.5,-0.037328699280721245,0.037328699280721245
base,2.5,2.6,-0.03664257103212354,0.03664257103212354
base,2.6,2.7,-0.0359422548059154,0.035942254805915175
base,2.7,2.8000000000000003,-0.035229478716109375,0.035229478716109375
base,2.8000000000000003,2.9000000000000004,-0.034505771416909914,0.034505771416909914
base,2.9000000000000004,3.0,-0.03377250845241342,0.03377250845241342
base,3.0,3.1,-0.033030948893982615,0.033030948893982615
base,3.1,3.2,-0.03228226425148373,0.03228226425148373
base,3.2,3.3000000000000003,-0.031527561196043274,0.031527561196043274
base,3.3000000000000003,3.4000000000000004,-0.030767899290440548,0.030767899290440548
base,3.4000000000000004,3.5,-0.030004304662353265,0.030004304662353265
base,3.5,3.6,-0.02923778035620095,0.02923778035620095
base,3.6,3.7,-0.02846931394672092,0.02846931394672092
base,3.7,3.8000000000000003,-0.027699882880610316,0.027699882880610316
base,3.8000000000000003,3.9000000000000004,-0.026930457923508566,0.026930457923508566
base,3.9000000000000004,4.0,-0.026162005021529433,0.026162005021529433
base,4.0,4.1000000000000005,-0.025395485835038922,0.025395485835038922
base,4.1000000000000005,4.2,-0.02463185716314209,0.024631857163141646
base,4.2,4.3,-0.023872069447688826,0.023872069447688826
base,4.3,4.4,-0.023117064523107356,0.023117064523107356
base,4.4,4.5,-0.02236777276109203,0.02236777276109203
base,4.5,4.6000000000000005,-0.021625109745646576,0.021625109745646576
base,4.6000000000000005,4.7,-0.020889972603162388,0.020889972603162388
base,4.7,4.800000000000001,-0.020163236102913817,0.020163236102913817
base,4.800000000000001,4.9,-0.019445748635135818,0.019445748635135818
base,4.9,5.0,-0.01873832816591392,0.01873832816591392
base,5.0,5.1000000000000005,-0.018041758260358698,0.018041758260358698
base,5.1000000000000005,5.2,-0.01735678425727949,0.01735678425727949
base,5.2,5.300000000000001,-0.016684109670189073,0.016684109670189073
base,5.300000000000001,5.4,-0.016024392880379823,0.016024392880379823
base,5.4,5.5,-0.015378244178402278,0.015378244178402278
base,5.5,5.6000000000000005,-0.01474622320047203,0.01474622320047203
base,5.6000000000000005,5.7,-0.014128836796303723,0.014128836796303723
base,5.7,5.800000000000001,-0.013526537354694224,0.013526537354694224
base,5.800000000000001,5.9,-0.01293972160328316,0.01293972160328316
base,5.9,6.0,-0.012368729889121521,0.012368729889121521
base,6.0,6.1000000000000005,-0.011813845937589607,0.011813845937589607
base,6.1000000000000005,6.2,-0.011275297078586322,0.011275297078586322
base,6.2,6.300000000000001,-0.01075325492127921,0.01075325492127921
base,6.300000000000001,6.4,-0.010247836451888537,0.010247836451888537
base,6.4,6.5,-0.009759105523243328,0.009759105523243328
base,6.5,6.6000000000000005,-0.00928707470020429,0.00928707470020429
base,6.6000000000000005,6.7,-0.008831707421478763,0.008831707421478763
base,6.7,6.800000000000001,-0.00839292043588924,0.00839292043588924
base,6.800000000000001,6.9,-0.007970586469712826,0.007970586469712826
base,6.9,7.0,-0.007564537081341749,0.007564537081341749
base,7.0,7.1000000000000005,-0.007174565659909593,0.007174565659909593
base,7.1000000000000005,7.2,-0.006800430525826462,0.006800430525826462
base,7.2,7.300000000000001,-0.006441858093063857,0.006441858093063857
base,7.300000000000001,7.4,-0.006098546055595566,0.006098546055595566
base,7.4,7.5,-0.005770166563265899,0.005770166563265899
base,7.5,7.6000000000000005,-0.005456369355673063,0.005456369355673063
base,7.6000000000000005,7.7,-0.005156784826128025,0.005156784826128025
base,7.7,7.800000000000001,-0.00487102699132258,0.00487102699132258
base,7.800000000000001,7.9,-0.0045986963459867525,0.0045986963459867525
base,7.9,8.0,-0.00433938258536859,0.00433938258536859
base,8.0,8.1,-0.004092667181788023,0.004092667181788023
base,8.1,8.200000000000001,-0.003858125804804491,0.003858125804804491
base,8.200000000000001,8.3,-0.003635330577527185,0.003635330577527185
base,8.3,8.4,-0.003423852164475827,0.003423852164475827
base,8.4,8.5,-0.003223261688821033,0.003223261688821033
base,8.5,8.6,-0.0030331324791219583,0.0030331324791219583
base,8.6,8.700000000000001,-0.0028530416476324483,0.0028530416476324483
base,8.700000000000001,8.8,-0.002682571503887843,0.002682571503887843
base,8.8,8.9,-0.0025213108087682734,0.0025213108087682734
base,8.9,9.0,-0.0023688558752574806,0.0023688558752574806
base,9.0,9.1,-0.0022248115231437993,0.0022248115231437993
base,9.1,9.200000000000001,-0.002088791895537234,0.002088791895537234
base,9.200000000000001,9.3,-0.0019604211456019094,0.0019604211456019094
base,9.3,9.4,-0.0018393340021622961,0.0018393340021622961
base,9.4,9.5,-0.0017251762230969803,0.0017251762230969803
base,9.5,9.600000000000001,-0.0016176049453369146,0.0016176049453369146
base,9.600000000000001,9.700000000000001,-0.001516288940337951,0.001516288940337951
base,9.700000000000001,9.8,-0.001420908783571262,0.001420908783571262
base,9.8,9.9,-0.0013311569464153905,0.0013311569464153905
base,9.9,10.0,-0.0012467378184524147,0.0012467378184524147
base,10.0,10.100000000000001,-0.001167367667838981,0.001167367667838981
base,10.100000000000001,10.200000000000001,-0.0010927745469486716,0.0010927745469486716
base,10.200000000000001,10.3,-0.001022698150149326,0.001022698150149326
base,10.3,10.4,-0.0009568896300262697,0.0009568896300262697
base,10.4,10.5,-0.00089511137796916,0.00089511137796916
base,10.5,10.600000000000001,-0.0008371367745974023,0.0008371367745974023
base,10.600000000000001,10.700000000000001,-0.0007827499149981598,0.0007827499149981598
base,10.700000000000001,10.8,-0.0007317453133857121,0.0007317453133857121
base,10.8,10.9,-0.0006839275913035348,0.0006839275913035348
base,10.9,11.0,-0.0006391111531500737,0.0006391111531500737
base,11.0,11.100000000000001,-0.0005971198523782029,0.0005971198523782029
base,11.100000000000001,11.200000000000001,-0.0005577866513954977,0.0005577866513954977
base,11.200000000000001,11.3,-0.0005209532778318593,0.0005209532778318593
base,11.3,11.4,-0.00048646987954881205,0.00048646987954881205
base,11.4,11.5,-0.00045419468042084965,0.00045419468042084965
base,11.5,11.600000000000001,-0.0004239936387417931,0.0004239936387417931
base,11.600000000000001,11.700000000000001,-0.0003957401097600677,0.0003957401097600677
base,11.700000000000001,11.8,-0.0003693145136933751,0.0003693145136933751
base,11.8,11.9,-0.00034460401033209465,0.00034460401033209465
base,11.9,12.0,-0.0003215021811771024,0.0003215021811771024
base,12.0,12.100000000000001,-0.0002999087198449768,0.0002999087198449768
base,12.100000000000001,12.200000000000001,-0.00027972913139762134,0.00027972913139762134
base,12.200000000000001,12.3,-0.0002608744410428354,0.0002608744410428354
base,12.3,12.4,-0.00024326091257864668,0.00024326091257864668
base,12.4,12.5,-0.00022680977683076087,0.00022680977683076087
base,12.5,12.600000000000001,-0.00021144697024344516,0.00021144697024344516
base,12.600000000000001,12.700000000000001,-0.00019710288370178297,0.00019710288370178297
base,12.700000000000001,12.8,-0.0001837121215986226,0.0001837121215986226
base,12.8,12.9,-0.00017121327108027273,0.00017121327108027273
base,12.9,13.0,-0.00015954868137968425,0.00015954868137968425
base,13.0,13.100000000000001,-0.00014866425306059305,0.00014866425306014897
base,13.100000000000001,13.200000000000001,-0.00013850923702163342,0.00013850923702163342
base,13.200000000000001,13.3,-0.00012903604300795735,0.0001290360430077353
base,13.3,13.4,-0.000120200057402986,0.00012020005740320805
base,13.4,13.5,-0.00011195947002207163,0.00011195947002207163
base,13.5,13.600000000000001,-0.00010427510965449471,0.00010427510965449471
base,13.600000000000001,13.700000000000001,-9.71102880180652e-05,9.71102880180652e-05
base,13.700000000000001,13.8,-9.043065185854182e-05,9.043065185854182e-05
base,13.8,13.9,-8.420404289943839e-05,8.420404289943839e-05
base,13.9,14.0,-7.840036527717587e-05,7.840036527717587e-05
base,14.0,14.100000000000001,-7.299146021311209e-05,7.299146021311209e-05
base,14.100000000000001,14.200000000000001,-6.795098758538565e-05,6.795098758538565e-05
base,14.200000000000001,14.3,-6.32543140928199e-05,6.32543140928199e-05
base,14.3,14.4,-5.887840773066699e-05,5.887840773066699e-05
base,14.4,14.5,-5.4801738264664834e-05,5.4801738264664834e-05
base,14.5,14.600000000000001,-5.1004183424741e-05,5.1004183424741e-05
base,14.600000000000001,14.700000000000001,-4.746694054080791e-05,4.746694054080791e-05
base,14.700000000000001,14.8,-4.4172443353973634e-05,4.4172443353973634e-05
base,14.8,14.9,-4.1104283718729206e-05,4.1104283718729206e-05
base,14.9,15.0,-3.824713796740653e-05,3.824713796740653e-05
base,15.0,15.100000000000001,-3.558669768133349e-05,3.558669768133349e-05
base,15.100000000000001,15.200000000000001,-3.310960463376311e-05,3.310960463376311e-05
base,15.200000000000001,15.3,-3.080338966765517e-05,3.080338966765517e-05
base,15.3,15.4,-2.8656415331118623e-05,2.8656415331118623e-05
base,15.4,15.5,-2.6657822002063014e-05,2.6657822002063014e-05
base,15.5,15.600000000000001,-2.4797477362836773e-05,2.4797477362836773e-05
base,15.600000000000001,15.700000000000001,-2.306592900391813e-05,2.306592900391813e-05
base,15.700000000000001,15.8,-2.145435998213152e-05,2.145435998213152e-05
base,15.8,15.9,-1.9954547165967895e-05,1.9954547165967895e-05
base,15.9,16.0,-1.8558822209913117e-05,1.8558822209913117e-05
base,16.0,16.1,-1.7260034984367678e-05,1.7260034984367678e-05
base,16.1,16.2,-1.6051519354132182e-05,1.6051519354132182e-05
base,16.2,16.3,-1.4927061105840522e-05,1.4927061105840522e-05
base,16.3,16.400000000000002,-1.3880867955951004e-05,1.3880867955951004e-05
base,16.400000000000002,16.5,-1.2907541482309881e-05,1.290754148275397e-05
base,16.5,16.6,-1.200205084694872e-05,1.200205084694872e-05
base,16.6,16.7,-1.1159708249941502e-05,1.1159708249941502e-05
base,16.7,16.8,-1.0376145950230509e-05,1.0376145950230509e-05
base,16.8,16.900000000000002,-9.647294796577555e-06,9.647294796577555e-06
base,16.900000000000002,17.0,-8.969364165167804e-06,8.969364165167804e-06
base,17.0,17.1,-8.338823194176115e-06,8.338823194176115e-06
base,17.1,17.2,-7.75238326999883e-06,7.75238326999883e-06
base,17.2,17.3,-7.206981659013678e-06,7.206981659013678e-06
base,17.3,17.400000000000002,-6.699766217810321e-06,6.699766217810321e-06
base,17.400000000000002,17.5,-6.228081118608841e-06,6.228081118608841e-06
base,17.5,17.6,-5.789453532356603e-06,5.789453532356603e-06
base,17.6,17.7,-5.381581171137739e-06,5.381581171137739e-06
base,17.7,17.8,-5.002320685010275e-06,5.002320685010275e-06
base,17.8,17.900000000000002,-4.649676833778926e-06,4.649676833778926e-06
base,17.900000000000002,18.0,-4.3217923626492905e-06,4.3217923626492905e-06
base,18.0,18.1,-4.016938583095708e-06,4.016938583095708e-06
base,18.1,18.2,-3.7335065585786253e-06,3.7335065585786253e-06
base,18.2,18.3,-3.469998918870232e-06,3.469998918870232e-06
base,18.3,18.400000000000002,-3.22502218974563e-06,3.22502218974563e-06
base,18.400000000000002,18.5,-2.997279664684882e-06,2.997279664684882e-06
base,18.5,18.6,-2.785564754637093e-06,2.785564754637093e-06
base,18.6,18.7,-2.588754776988722e-06,2.588754776988722e-06
base,18.7,18.8,-2.405805186844745e-06,2.4058051864006558e-06
base,18.8,18.900000000000002,-2.2357441746834184e-06,2.2357441746834184e-06
base,18.900000000000002,19.0,-2.077667658362259e-06,2.077667658362259e-06
base,19.0,19.1,-1.930734596200523e-06,1.930734596200523e-06
base,19.1,19.200000000000003,-1.7941626277995226e-06,1.7941626277995226e-06
base,19.200000000000003,19.3,-1.6672240157333817e-06,1.6672240157333817e-06
base,19.3,19.400000000000002,-1.5492418588003432e-06,1.5492418588003432e-06
base,19.400000000000002,19.5,-1.4395865679528441e-06,1.4395865679528441e-06
base,19.5,19.6,-1.3376725884750584e-06,1.3376725884750584e-06
base,19.6,19.700000000000003,-1.2429553328807685e-06,1.2429553328807685e-06
base,19.700000000000003,19.8,-1.1549283387424225e-06,1.1549283387424225e-06
base,19.8,19.900000000000002,-1.0731206239178448e-06,1.0731206239178448e-06
base,19.900000000000002,20.0,-9.970942040915531e-07,9.970942040915531e-07
reaction_slow,0.0,0.1,-0.0008284703321575104,0.0008284703321575131
reaction_slow,0.1,0.2,-0.002247391994689815,0.0022473919946898067
reaction_slow,0.2,0.30000000000000004,-0.0034605994808593866,0.003460599480859392
reaction_slow,0.30000000000000004,0.4,-0.004534373105979354,0.004534373105979361
reaction_slow,0.4,0.5,-0.0054947138716430685,0.005494713871643048
reaction_slow,0.5,0.6000000000000001,-0.006356234492489073,0.006356234492489031
reaction_slow,0.6000000000000001,0.7000000000000001,-0.007129449184689694,0.007129449184689694
reaction_slow,0.7000000000000001,0.8,-0.007823038261734364,0.007823038261734378
reaction_slow,0.8,0.9,-0.00844459665369153,0.008444596653691558
reaction_slow,0.9,1.0,-0.009000914415987424,0.009000914415987465
reaction_slow,1.0,1.1,-0.009498109091987367,0.009498109091987395
reaction_slow,1.1,1.2000000000000002,-0.009941708067330385,0.009941708067330357
reaction_slow,1.2000000000000002,1.3,-0.010336711375776936,0.010336711375776936
reaction_slow,1.3,1.4000000000000001,-0.010687644712636432,0.010687644712636432
reaction_slow,1.4000000000000001,1.5,-0.010998606042074685,0.01099860604207463
reaction_slow,1.5,1.6,-0.011273307194064969,0.011273307194064969
reaction_slow,1.6,1.7000000000000002,-0.011515111198197453,0.011515111198197536
reaction_slow,1.7000000000000002,1.8,-0.011727065867615682,0.011727065867615682
reaction_slow,1.8,1.9000000000000001,-0.01191193404333482,0.011911934043334904
reaction_slow,1.9000000000000001,2.0,-0.01207222084993953,0.012072220849939613
reaction_slow,2.0,2.1,-0.012210198271069728,0.012210198271069783
reaction_slow,2.1,2.2,-0.012327927318450838,0.012327927318450838
reaction_slow,2.2,2.3000000000000003,-0.012427278038502132,0.012427278038502187
reaction_slow,2.3000000000000003,2.4000000000000004,-0.012509947574510932,0.012509947574510932
reaction_slow,2.4000000000000004,2.5,-0.01257747647936644,0.012577476479366495
reaction_slow,2.5,2.6,-0.012631263453422803,0.012631263453422859
reaction_slow,2.6,2.7,-0.01267257866394969,0.01267257866394969
reaction_slow,2.7,2.8000000000000003,-0.01270257578646694,0.01270257578646694
reaction_slow,2.8000000000000003,2.9000000000000004,-0.01272230289388454,0.01272230289388454
reaction_slow,2.9000000000000004,3.0,-0.012732712306523286,0.012732712306523286
reaction_slow,3.0,3.1,-0.01273466950463431,0.01273466950463431
reaction_slow,3.1,3.2,-0.01272896119477157,0.01272896119477157
reaction_slow,3.2,3.3000000000000003,-0.01271630261221468,0.01271630261221468
reaction_slow,3.3000000000000003,3.4000000000000004,-0.012697344133405564,0.012697344133405564
reaction_slow,3.4000000000000004,3.5,-0.012672677265024745,0.012672677265024745
